table_name,column_name,is_primary_key,ordinal_position
DATA_CAPTURE_FORMS,ENROLL_ID,Y,1
DATA_CAPTURE_FORMS,DOC_INFO_ID,Y,3
DAY_AUDIT_TRAIL,TREATMENT_PLAN_ID,Y,1
DAY_AUDIT_TRAIL,DAY_AUD_USR_ID,Y,10
DCIS_BREAST_EXCIS,RESULT_ID,Y,1
DC_ORD_TRANS,ORDER_ID,Y,1
DC_ORD_TRANS,DC_ORD_TRAN_USR_ID,Y,3
DC_VN_PRV_ACTN_ADT,ORDER_ID,Y,1
DD_DIALYSIS_VACCINATION_G,REGISTRY_DATA_ID,Y,1
DD_DIA_CMS_DEATH,REGISTRY_DATA_ID,Y,1
DD_DIA_CMS_DISCONTINUED,REGISTRY_DATA_ID,Y,1
DD_DIA_CMS_GENDER,REGISTRY_DATA_ID,Y,1
DD_DIA_CMS_START,REGISTRY_DATA_ID,Y,1
DD_DIA_CMS_START_2,REGISTRY_DATA_ID,Y,1
DD_DIA_CMS_START_COMORBID,REGISTRY_DATA_ID,Y,1
DD_DIA_CMS_START_MED_CVG,REGISTRY_DATA_ID,Y,1
DD_DIA_CMS_START_NO_HOME,REGISTRY_DATA_ID,Y,1
DD_DIA_CMS_START_NO_TXP,REGISTRY_DATA_ID,Y,1
DD_DIA_CMS_START_RACE,REGISTRY_DATA_ID,Y,1
DD_DIA_CMS_TELEMEDICINE,REGISTRY_DATA_ID,Y,1
DECISION_LETTERS,FIN_ASST_TRACKER_ID,Y,1
DECISION_LETTERS,LETTER_PAT_ENC_CSN_ID,Y,3
DECISION_LETTERS,LETTER_JOB_ID,Y,4
DECISION_SERVICE_EPISODES,FIN_ASST_TRACKER_ID,Y,1
DECISION_SERVICE_EPISODES,SERVICE_EPISODE_ID,Y,3
DEEP_MARGIN,RESULT_ID,Y,1
DEFAULT_PAYOR_PLAN,PAT_ID,Y,1
DEGENERATIVE_CHNG,RESULT_ID,Y,1
DELIVERY_ANALGES,SUMMARY_BLOCK_ID,Y,1
DELIVERY_ANES_MTHD,SUMMARY_BLOCK_ID,Y,1
DELIVERY_BREECH,SUMMARY_BLOCK_ID,Y,1
DELIVERY_CORDCOMPS,SUMMARY_BLOCK_ID,Y,1
DELIVERY_CORD_VESS,SUMMARY_BLOCK_ID,Y,1
DELIVERY_CRDBLDDIS,SUMMARY_BLOCK_ID,Y,1
DELIVERY_FORCEPS,SUMMARY_BLOCK_ID,Y,1
DELIVERY_GAS_SENT,SUMMARY_BLOCK_ID,Y,1
DELIVERY_LIV_STS,SUMMARY_BLOCK_ID,Y,1
DELIVERY_PLCTA_APP,SUMMARY_BLOCK_ID,Y,1
DELIVERY_PLCTA_RM,SUMMARY_BLOCK_ID,Y,1
DELIVERY_PRES,SUMMARY_BLOCK_ID,Y,1
DELIVERY_RESUSCIT,SUMMARY_BLOCK_ID,Y,1
DELIVERY_VACUUM,SUMMARY_BLOCK_ID,Y,1
DEMOG_AUTH_AUDIT,PAT_ID,Y,1
DEMOG_AUTH_AUDIT,USER_ID,Y,5
DEMOG_AUTH_AUDIT,MYPT_ID,Y,7
DEMOG_AUTH_INFO,PAT_ID,Y,1
DEMOG_AUTH_INFO,ASSOCIATED_MYPT_ID,Y,6
DENTAL_ADDRESSED_FIND,FINDING_ID,Y,1
DENTAL_ADDRESSED_FIND,DENT_ADDR_FIND_ID,Y,3
DENTAL_BLEED_SUP_LOC,FINDING_ID,Y,1
DENTAL_CLASS_AUDIT,PAT_ID,Y,1
DENTAL_CLINATTLVL_HX,FINDING_ID,Y,1
DENTAL_FINDING_HX,FINDING_ID,Y,1
DENTAL_FINDING_HX,DENTAL_MOD_USER_ID,Y,4
DENTAL_FINDING_NOADD,FINDING_ID,Y,1
DENTAL_FIND_HIST_SURF_RM,FINDING_ID,Y,1
DENTAL_FURC_CLASS_HX,FINDING_ID,Y,1
DENTAL_FURC_LOC_HX,FINDING_ID,Y,1
DENTAL_GINGIVALMARGIN_HX,FINDING_ID,Y,1
