table_name,column_name,is_primary_key,ordinal_position
FACE_TO_FACE_ORDERS,SUMMARY_BLOCK_ID,Y,1
FACE_TO_FACE_ORDERS,VERBAL_ORDER_ID,Y,3
FAC_CHG_OVERRIDE,PAT_ENC_CSN_ID,Y,1
FAC_CHG_OVERRIDE,CM_CT_OWNER_ID,Y,4
FAC_CHG_OVERRIDE,FAC_CHG_OVR_USR_ID,Y,7
FAC_CHG_RULE_SCORE,PAT_ENC_CSN_ID,Y,1
FAILED_ACCESS,PAT_ID,Y,1
FALLOP_TUB_SALPING,RESULT_ID,Y,1
FAMILY_HX,PAT_ENC_CSN_ID,Y,5
FAMILY_HX,FAM_MED_REL_ID,Y,10
FAMILY_HX_STATUS,PAT_ENC_CSN_ID,Y,1
FAMILY_HX_STATUS,FAM_STAT_ID,Y,12
FAMILY_HX_STATUS,FAM_STAT_FATHER_ID,Y,13
FAMILY_HX_STATUS,FAM_STAT_MOTHER_ID,Y,14
FAMILY_HX_STATUS,FAM_STAT_REL_ID,Y,21
FAMILY_HX_STATUS,FAM_STAT_PREG_EPISODE_ID,Y,25
FAMILY_HX_STATUS,FAM_STAT_DELIV_EPISODE_ID,Y,26
FAM_HX_PAT_ONLY,PAT_ENC_CSN_ID,Y,1
FAM_PAT_ENC_RELATIONLIST,PAT_ENC_CSN_ID,Y,1
FAM_PAT_ENC_RELATIONLIST,PAT_ID,Y,3
FAM_PAT_ENC_RELATIONLIST,CM_CT_OWNER_ID,Y,5
FAM_PAT_ENC_RELATIONSHIPS,PAT_ENC_CSN_ID,Y,1
FAM_PAT_ENC_RELATIONSHIPS,PAT_ID,Y,3
FAM_PAT_ENC_RELATIONSHIPS,CM_CT_OWNER_ID,Y,5
FA_CASE_SERVICE_AREAS,FIN_ASST_CASE_ID,Y,1
FA_NOTES_QUERY,NOTE_ID,Y,1
FA_NOTES_QUERY,QUERY_PERSON_USER_ID,Y,2
FA_NOTES_QUERY_RESP,NOTE_ID,Y,1
FA_NOTES_QUERY_RESP,QRY_PAT_ID,Y,9
FA_NOTES_QUERY_RESP,QRY_PAT_REL_ID,Y,10
FA_TRACKER_SERVICE_AREAS,FIN_ASST_TRACKER_ID,Y,1
FB_DISMISS_QUESTIONNAIRE,PAT_ENC_CSN_ID,Y,1
FB_DISMISS_QUESTIONNAIRE,PAT_ID,Y,3
FB_DISMISS_QUESTIONNAIRE,CM_CT_OWNER_ID,Y,5
FCC_RULES_AUDIT,PAT_ENC_CSN_ID,Y,1
FCC_SCORE_AUDIT,PAT_ENC_CSN_ID,Y,1
FCC_SCORE_AUDIT,EDIT_USER_ID,Y,7
FCL_EXTRNL_CDE_LST,EXT_CODE_LST_ID,Y,1
FCS_STAGING_DEFS,STG_DEF_ID,Y,1
FEE_SCHEDULE_MAP,FEE_SCHEDULE_MAP_ID,Y,1
FILED_HNO_ID,PAT_ENC_CSN_ID,Y,1
FILED_HNO_ID,FILED_HNO_ID,Y,4
FILING_ORDER_HX,RECORD_ID,Y,1
FILING_ORDER_HX,CVG_ID,Y,6
FILING_ORDER_HX_EFF_DATE,RECORD_ID,Y,1
FILING_ORDER_HX_TERM_DATE,RECORD_ID,Y,1
FINALIZE_PHYSICIAN,ORDER_ID,Y,1
FINDING_AVATAR_POINTS,FINDING_ID,Y,1
FINDING_AVATAR_POINTS,FINDING_POINT_REGION_ID,Y,4
FINDING_IMAGES_METADATA,ORDER_ID,Y,1
FINDING_IMAGES_METADATA,FNDMETA_DOC_INFO_ID,Y,5
FINDING_IMAGES_METADATA,BODY_LOC_RECORD_ID,Y,9
FINDING_IMAGE_CAPTION,FINDING_ID,Y,1
FINDING_IMG_OT,FINDING_ID,Y,1
FINDING_IMG_OT,FINDING_DCS_ID,Y,4
FINDING_INTERVENTIONS,FINDING_ID,Y,1
FINDING_INTERVENTIONS,INTERVENTION_ID,Y,3
