table_name,column_name,is_primary_key,ordinal_position
GALLBLADDER_RESEC,RESULT_ID,Y,1
GENE_IDENT,GENE_ID,Y,1
GEN_INDICATORS,GEN_INDICATOR_ID,Y,1
GEN_RFL_CAT_MR_10,REFERRAL_ID,Y,1
GEN_RFL_CAT_MR_6,REFERRAL_ID,Y,1
GEN_RFL_CAT_MR_7,REFERRAL_ID,Y,1
GEN_RFL_CAT_MR_8,REFERRAL_ID,Y,1
GEN_RFL_CAT_MR_9,REFERRAL_ID,Y,1
GEO_REGION,GEO_REGION_ID,Y,1
GOAL,GOAL_ID,Y,1
GOAL,GOAL_TYPE_ID,Y,2
GOAL,PROBLEM_ID,Y,4
GOAL,GOAL_DESC_ID,Y,7
GOAL,EVALUATION_NOTE_ID,Y,8
GOAL,GOAL_TEMPLATE_ID,Y,9
GOAL,HH_EPISODE_ID,Y,12
GOAL_BARRIERS,GOAL_ID,Y,1
GOAL_CONTACT,GOAL_ID,Y,1
GOAL_CONTACT,EDIT_USER_ID,Y,9
GOAL_CONTACT,PATH_OUTCOME_VAR_ID,Y,12
GOAL_CONTACT,CARE_PLAN_CSN_ID,Y,13
GOAL_CONTACT,UPDATED_GOAL_ID,Y,17
GOAL_DISC,GOAL_ID,Y,1
GOAL_DISC,DISC_TYPE_ID,Y,5
GOAL_FLO,GOAL_ID,Y,1
GOAL_FLO,IGO_FLO_ID,Y,3
GOAL_FSD,GOAL_ID,Y,1
GOAL_INTRVNTN,GOAL_ID,Y,1
GOAL_INTRVNTN,INTERVENTION_ID,Y,3
GOAL_OUTCOME_CNCT,GOAL_ID,Y,1
GOAL_OUTCOME_CNCT,VISIT_NOTE_ID,Y,5
GOAL_READING_HX,GOAL_ID,Y,1
GOAL_READING_HX,CARE_PLAN_HX_CSN_ID,Y,5
GOAL_TEMPLATES,GOAL_TEMPLATE_ID,Y,1
GOAL_TYPE,GOAL_TYPE_ID,Y,1
GOAL_VARIANCE,GOAL_ID,Y,1
GOAL_VARIANCE,VARIANCE_ID,Y,3
GRAFT_ANASTOMOSIS,FINDING_ID,Y,1
GRAFT_ANASTOMOSIS,ANAS_VESSEL_ID,Y,3
GRAFT_ANASTOMOSIS,ANAS_SEGMENT_ID,Y,5
GROUP_FACILITATORS,PAT_GROUP_ID,Y,1
GUARANTOR_SCANNED_DOCS,ACCT_ID,Y,1
GUAR_ACCT_STMT_HX,ACCOUNT_ID,Y,1
GUAR_ADDR_HX,ACCOUNT_ID,Y,1
GUAR_ADDR_VERIF,GUAR_ID,Y,1
GUAR_ADDR_VERIF,G_ADDR_REC_CR_ID,Y,9
GUAR_EMPR_ADDRESS,ACCT_ID,Y,1
GUAR_NOTIF_HX_REPL,ACCOUNT_ID,Y,1
GUAR_NOTIF_HX_REPL,NOTIF_MYPT_ID,Y,5
GUAR_NOTIF_HX_REPL,INITIATING_USER_ID,Y,6
GUAR_PAT_BILLING_ACSS,ACCT_ID,Y,1
GUAR_PAT_BILLING_ACSS,BILLING_ACSS_MYPT_ID,Y,3
GUAR_PMT_SCORE_HB_HX,ACCOUNT_ID,Y,1
GUAR_PMT_SCORE_HX,ACCOUNT_ID,Y,1
GUAR_PMT_SCORE_PB_HX,ACCOUNT_ID,Y,1
GUAR_PMT_SCORE_REPL,ACCOUNT_ID,Y,1
GUAR_SPOKEN_LANG,ACCT_ID,Y,1
GUAR_SYNC_CVGS_ADD,ACCT_ID,Y,1
GUAR_SYNC_CVGS_ADD,GUAR_SYNC_ADDCVG_ID,Y,3
GUAR_WRITTEN_LANG,ACCT_ID,Y,1
GYN_CCS_FOLLOWUP_REPL,PAT_ID,Y,1
GYN_CCS_FOLLOWUP_REPL,GYN_FOLLOWUP_USER_ID,Y,4
GYN_CCS_STATUS,PAT_ID,Y,1
GYN_CCS_STATUS,GYN_CCS_UPD_USER_ID,Y,4
