table_name,column_name,is_primary_key,ordinal_position
HANDHELD_SYS_DEF,ID_NUMBER_ID,Y,1
HANDOFF_EDIT_TEXT,HANDOFF_ID,Y,1
HANDOFF_TASK_LIST,HANDOFF_ID,Y,1
HANDOFF_TASK_LIST,TASK_ID,Y,5
HAR_ALL,ACCT_ID,Y,1
HAR_ALL,PAT_ID,Y,2
HAR_ALL,PRIM_ENC_CSN_ID,Y,3
HBP_STMT_HAR_DETAIL,HBP_PRINT_ID,Y,1
HBP_STMT_HAR_DETAIL,HSP_ACCOUNT_ID,Y,3
HBP_STMT_HAR_DETAIL,BUCKET_ID,Y,30
HBP_STMT_HAR_DETAIL,CLAIM_PRINT_ID,Y,32
HBP_STMT_HAR_DETAIL,COLL_AGENCY_ID,Y,37
HBP_STMT_PRINT,HBP_PRINT_ID,Y,1
HBP_STMT_PRINT,ACCT_ID,Y,7
HBP_STMT_PRINT_ADDR,HBP_PRINT_ID,Y,1
HCM_NOADD_SINGLE,METADATA_ID,Y,1
HC_EPSD_NOTES,SUMMARY_BLOCK_ID,Y,1
HC_EPSD_NOTES,HC_NOTES_ID,Y,3
HC_PLACE_OF_SRVC,SUMMARY_BLOCK_ID,Y,1
HC_PLACE_OF_SRVC,POS_EDIT_USER_ID,Y,12
HC_PLACE_OF_SRVC_DIR,SUMMARY_BLOCK_ID,Y,1
HEALTH_CARE_AGENT_HX,PAT_ID,Y,1
HEALTH_CARE_AGENT_HX,USER_ID,Y,4
HEART_RANKING_STATUS_HX,SUMMARY_BLOCK_ID,Y,1
HEART_RESECTION,RESULT_ID,Y,1
HELD_ORDERS_REVIEW,PAT_ENC_CSN_ID,Y,1
HELD_ORDERS_REVIEW,PAT_ID,Y,3
HELD_ORDERS_REVIEW,CM_CT_OWNER_ID,Y,5
HEMORRHAGE_SRC,PROBLEM_LIST_ID,Y,1
HEMO_DATA_PHASES,FINDING_ID,Y,1
HEMO_DATA_PHASES,HEMO_PHASES_KEY,Y,3
HEMO_DATA_TEMPLATE,FINDING_ID,Y,1
HEMO_DATA_TEMPLATE,HEMO_TEMPLATE_FORM_ID,Y,3
HEMO_DATA_VALUES,FINDING_ID,Y,1
HEMO_DATA_VALUES,HEMO_PHASE_KEY,Y,5
HEPATOBLAST_RESEC,RESULT_ID,Y,1
HEPATOCELL_CARC,RESULT_ID,Y,1
HEPATOCELL_DYSPLS,RESULT_ID,Y,1
HH_ADMN_PAT_DATA,EMP_ID,Y,1
HH_ADMN_PAT_DATA,PATIENT_ID,Y,3
HH_ADMN_PAT_DATA,PAT_ENC_CSN_ID,Y,4
HH_ALERT_DESC_OVERRIDE,ALERT_ID,Y,1
HH_ALERT_DISCIPLINE,ALERT_ID,Y,1
HH_ALERT_INFO,ALERT_ID,Y,1
HH_ALERT_INFO,ALERT_TYPE_ID,Y,2
HH_ALERT_INFO,SUMMARY_BLOCK_ID,Y,4
HH_ALERT_INFO_OT,ALERT_ID,Y,1
HH_ALERT_INFO_OT,NOTE_ID,Y,14
HH_ALERT_MESSAGE,ALERT_ID,Y,1
