table_name,column_name,is_primary_key,ordinal_position
IB_APPTS,MSG_ID,Y,1
IB_CALL_ACTION,MSG_ID,Y,1
IB_CASES_LINKED,MSG_ID,Y,1
IB_CASES_LINKED,CASES_LNKED_CASE_ID,Y,3
IB_LAB_SPECIMEN_ID,MSG_ID,Y,1
IB_LAB_SPECIMEN_ID,LAB_SPEC_ID,Y,3
IB_LAB_TEST,MSG_ID,Y,1
IB_MESSAGES,MSG_ID,Y,1
IB_MESSAGES,PAT_ID,Y,4
IB_MESSAGES,SENDER_USER_ID,Y,6
IB_MESSAGES,ORDER_PROC_ID,Y,10
IB_MESSAGES,ORDER_MED_ID,Y,11
IB_MESSAGES,PAT_ENC_CSN_ID,Y,16
IB_MESSAGES,DICT_HNO_ID,Y,18
IB_MESSAGES,TASK_ID_ID,Y,19
IB_MESSAGES,REFERRAL_ID,Y,20
IB_MESSAGES,CLAIM_ID,Y,21
IB_MESSAGES,ORGANIZATION_ID,Y,22
IB_MESSAGES,MYCHART_HNO_ID,Y,40
IB_MESSAGES,PEF_EPISODE_ID,Y,42
IB_MESSAGES,NCS_ID,Y,45
IB_MESSAGES,DENTAL_TRT_PLAN_ID,Y,46
IB_MESSAGES,TRANSCRIPT_NOTE_ID,Y,49
IB_MESSAGES,LAB_RESULT_ID,Y,50
IB_MESSAGES,LAB_REQ_ID,Y,52
IB_MESSAGES_2,MSG_ID,Y,1
IB_MESSAGES_2,CCR_NOTE_ID,Y,2
IB_MESSAGES_2,ATTCHD_NOTE_REC_ID,Y,4
IB_MESSAGES_2,OR_CASE_ID,Y,11
IB_MESSAGES_2,OR_LOG_ID,Y,13
IB_MESSAGES_2,EPT_CSN_ID,Y,15
IB_MESSAGES_2,LINKED_EPISODE_ID,Y,16
IB_MESSAGES_2,GEN_OVERDUE_MSG_ID,Y,17
IB_MESSAGES_3,MSG_ID,Y,1
IB_MESSAGES_3,CHART_CORR_ID,Y,2
IB_MESSAGES_3,FAX_RECV_SMT_ID,Y,3
IB_MESSAGES_3,FAX_RECV_PT_RQG_ID,Y,5
IB_MESSAGES_3,CVG_ID,Y,8
IB_MESSAGES_3,REPLY_TO_MSG_ID,Y,11
IB_MESSAGES_3,PARENT_MSG_ID,Y,12
IB_MESSAGES_3,QUESTIONNAIRE_FORM_ID,Y,13
IB_MESSAGES_3,ABN_NOTE_ID,Y,17
IB_MESSAGES_4,MSG_ID,Y,1
IB_MESSAGES_4,PROC_ALG_LPL_ID,Y,2
IB_MESSAGES_4,MYC_CONVO_THREAD_ID,Y,5
IB_MESSAGES_4,NOTIF_SUBJ_SMARTTEXT_ID,Y,6
IB_MESSAGES_4,QUERY_TICKET_ID,Y,9
IB_MESSAGES_4,HH_EPISODE_ID,Y,14
IB_MESSAGES_4,HH_VERBAL_ORDER_ID,Y,18
IB_MESSAGES_4,FUT_TREATMENT_PLAN_ID,Y,21
IB_MESSAGES_5,MSG_ID,Y,1
IB_MESSAGES_5,APPEAL_GRV_ID,Y,3
IB_MESSAGE_PAT_ENC,MSG_ID,Y,1
IB_MESSAGE_PAT_ENC,PAT_ENC_CSN_ID,Y,3
IB_MESSAGE_THREAD,THREAD_ID,Y,1
IB_MESSAGE_THREAD,MESSAGE_ID,Y,4
IB_MESSAGE_THREAD,ATTACHED_NOTE_ID,Y,6
IB_MESSAGE_THREA_4,THREAD_ID,Y,1
IB_MSG_COMMENTS,MSG_ID,Y,1
IB_MSG_IMG_FINDINGS,MSG_ID,Y,1
IB_MSG_IMG_FINDINGS,IMAGING_FINDING_ID,Y,3
IB_NOTES,MSG_ID,Y,1
IB_OVERDUE_MSG_ID,MSG_ID,Y,1
IB_OVERDUE_MSG_ID,OVERDUE_MSG_ID,Y,3
IB_PHRM_ORDER_ID,MSG_ID,Y,1
IB_PHRM_ORDER_ID,PHRM_ORDER_ID,Y,3
IB_RSH_ASSOC_MSG,MSG_ID,Y,1
IB_RSH_ASSOC_MSG,ENROLL_ID,Y,3
IB_RSH_MSG,MSG_ID,Y,1
IB_RTF_NOTES,MSG_ID,Y,1
ICD_EVNT_INTRP_CMT,IMPLANT_ID,Y,1
ICD_POCKET_CMT,IMPLANT_ID,Y,1
IDENTITY_CHANGES,ACCT_ID,Y,1
IDENTITY_CHANGES,ID_CHANGE_USER_ID,Y,3
IDENTITY_HQA_ID,ANSWER_ID,Y,1
IDENTITY_HQA_ID,MPI_ID_TYPE_ID,Y,3
IDENTITY_HQA_ID,MPI_ID,Y,5
IDENTITY_HQA_ID,MPI_RET_CHK_LPP_ID,Y,8
IDENTITY_HQA_ID,MPI_RET_CHK_RULE_ID,Y,10
IDENTITY_HQA_ID_HX,ANSWER_ID,Y,1
IDENTITY_HQA_ID_HX,MPI_HX_IDENTITY_ID,Y,3
IDENTITY_HQA_ID_HX,MPI_HX_IDENTITY_TYPE_ID,Y,5
IDENTITY_HQA_ID_HX,MPI_HX_USER_ID,Y,7
IDENTITY_HQA_ID_HX,MPI_HX_NEW_ID,Y,10
IDENTITY_ID,PAT_ID,Y,1
IDENTITY_ID,IDENTITY_ID,Y,3
IDENTITY_ID,IDENTITY_TYPE_ID,Y,4
IDENTITY_ID_HX,PAT_ID,Y,1
IDENTITY_ID_HX,IDENTITY_NEW_ID,Y,6
IDENTITY_POC_ID,POC_ID,Y,1
IDENTITY_POC_ID,MPI_ID_TYPE_ID,Y,3
IDENTITY_POC_ID,MPI_ID,Y,5
IDENTITY_POC_ID_HX,POC_ID,Y,1
IDENTITY_POC_ID_HX,MPI_HX_ID_TYPE_ID,Y,5
IDENTITY_POC_ID_HX,MPI_HX_USER_ID,Y,7
IDENTITY_POC_ID_HX,MPI_HX_NEW_ID,Y,10
IDE_NUM,RECORD_ID,Y,1
IEC_BRIDGING_THERAPY,REGIMEN_ID,Y,1
IEC_CELL_TYPES,REGIMEN_ID,Y,1
IEC_PLAN_EFFICACY_TREAT,REGIMEN_ID,Y,1
IEC_PLAN_TOXICITY_TREAT,REGIMEN_ID,Y,1
IGC_SPOTTER_COMORBIDS,HLV_ID,Y,1
IGC_SPOTTER_COMORBIDS,REGISTRY_DATA_ID,Y,3
IGC_SPOTTER_ETIOLOGICS,HLV_ID,Y,1
IGC_SPOTTER_ETIOLOGICS,REGISTRY_DATA_ID,Y,3
IGO_WEBLINKS,GOAL_ID,Y,1
IGRT_MODALITY,RT_SUMMARY_ID,Y,1
IHS_ELIGIBILITY_REASONS,PAT_ENC_CSN_ID,Y,1
ILLICIT_DRUG_TYPES,PAT_ENC_CSN_ID,Y,1
IMAGE_DRAW_AUDIT_TRAIL,DOCUMENT_ID,Y,1
IMAGING_CDS_ORDER_TEMPLT,OTP_ID,Y,1
