table_name,column_name,is_primary_key,ordinal_position
OBGYN_STAT,PAT_ID,Y,1
OBGYN_STAT,UPDATE_USR_ID,Y,5
OBSERVATION_METHOD_ID,ORDER_ID,Y,1
OBS_MTHD_ID,ORDER_ID,Y,1
OB_CSECT_COMMENTS,LOG_ID,Y,1
OB_CSECT_IND_CS,CASE_ID,Y,1
OB_CSECT_IND_LG,LOG_ID,Y,1
OB_DEL_AUGMENT_RSN,SUMMARY_BLOCK_ID,Y,1
OB_DEL_CSECT_RSN,SUMMARY_BLOCK_ID,Y,1
OB_DEL_EPISIO_RSN,SUMMARY_BLOCK_ID,Y,1
OB_DEL_ETHNIC_BACKGROUND,SUMMARY_BLOCK_ID,Y,1
OB_DEL_FORCEPS_RSN,SUMMARY_BLOCK_ID,Y,1
OB_DEL_INDUCT_RSN,SUMMARY_BLOCK_ID,Y,1
OB_DEL_PROC,SUMMARY_BLOCK_ID,Y,1
OB_DEL_RACE,SUMMARY_BLOCK_ID,Y,1
OB_DEL_VACUUM_RSN,SUMMARY_BLOCK_ID,Y,1
OB_EPT_OBST_REV,PAT_ENC_CSN_ID,Y,1
OB_EPT_OBST_REV,VITALS_OB_REV_U_ID,Y,3
OB_HSB_DATING,SUMMARY_BLOCK_ID,Y,1
OB_HSB_DATING,OB_DT_ENTUSR_ID,Y,12
OB_HSB_DELIVERY,SUMMARY_BLOCK_ID,Y,1
OB_HSB_DELIVERY_2,SUMMARY_BLOCK_ID,Y,1
OB_HSB_DEL_AUGMENT,SUMMARY_BLOCK_ID,Y,1
OB_HSB_DEL_CMPLCTN,SUMMARY_BLOCK_ID,Y,1
OB_HSB_DEL_EPISIO,SUMMARY_BLOCK_ID,Y,1
OB_HSB_DEL_INDUCT,SUMMARY_BLOCK_ID,Y,1
OB_HSB_DEL_PROV,SUMMARY_BLOCK_ID,Y,1
OB_HSB_DEL_PTLABOR,SUMMARY_BLOCK_ID,Y,1
OB_HSB_DEL_REPRSUT,SUMMARY_BLOCK_ID,Y,1
OB_HSB_DEL_RIPETYP,SUMMARY_BLOCK_ID,Y,1
OB_HSB_DEL_RP_DTTM,SUMMARY_BLOCK_ID,Y,1
OB_HSB_DEL_RUPTCLR,SUMMARY_BLOCK_ID,Y,1
OB_HSB_DEL_RUPTTYP,SUMMARY_BLOCK_ID,Y,1
OB_HSB_DEL_SIGN,SUMMARY_BLOCK_ID,Y,1
OB_HSB_FLUID_ODOR,SUMMARY_BLOCK_ID,Y,1
OB_HX_COMMENT,PAT_ENC_CSN_ID,Y,1
OB_RSN_NO_SKN_TO_SKN,SUMMARY_BLOCK_ID,Y,1
OB_SKN_TO_SKN_WITH,SUMMARY_BLOCK_ID,Y,1
OB_TOTAL,PAT_ENC_CSN_ID,Y,1
OB_UTZ_EFW,FINDING_ID,Y,1
OCCURRENCE_CODES,SUMMARY_BLOCK_ID,Y,1
OCC_CD,RECORD_ID,Y,1
OCC_CONTEXTS,RECORD_ID,Y,1
OCC_SPAN_CD,RECORD_ID,Y,1
OCS_CODE_STATUS,OCS_ID,Y,1
OCS_CODE_STATUS,USER_ID,Y,6
OCS_CODE_STATUS,ORDER_ID,Y,8
OCS_CODE_STATUS,PATIENT_ID,Y,12
OCS_CODE_STATUS,VERBAL_ORDER_ID,Y,16
ODC_BASIC,ORDER_CONTEXT_ID,Y,1
ODC_BASIC,ODC_PAT_ID,Y,4
ODC_CTX_COMMENTS,ORDER_CONTEXT_ID,Y,1
ODC_REC_STATUS_HX,ORDER_CONTEXT_ID,Y,1
ODC_REC_STATUS_HX,SDFL_EDIT_USER_ID,Y,4
ODC_USER_CTX_OWNER,ORDER_CONTEXT_ID,Y,1
OFFLINE_DOC_ALT_CSN,PAT_ENC_CSN_ID,Y,1
OFFLINE_DOC_ALT_CSN,CM_CT_OWNER_ID,Y,6
OFFLINE_DOC_CHECKS,PAT_ENC_CSN_ID,Y,1
OFFLINE_DOC_CHECKS,CM_CT_OWNER_ID,Y,5
OFFLINE_DOC_COL_DTTM,PAT_ENC_CSN_ID,Y,1
OFFLINE_DOC_COL_DTTM,CM_CT_OWNER_ID,Y,6
OFFLINE_DOC_DISP_DETAILS,PAT_ENC_CSN_ID,Y,1
OFFLINE_DOC_DISP_DETAILS,CM_CT_OWNER_ID,Y,6
OFFLINE_DOC_ROW_NM,PAT_ENC_CSN_ID,Y,1
OFFLINE_DOC_ROW_NM,CM_CT_OWNER_ID,Y,6
OFFLINE_DOC_TEMPLATE_NM,PAT_ENC_CSN_ID,Y,1
OFFLINE_DOC_TEMPLATE_NM,CM_CT_OWNER_ID,Y,6
OMB_ETHNICITY_MAPPING,FAC_ID,Y,1
OMENTAL_MARGINS,RESULT_ID,Y,1
ONE_PAGER_REVIEW_COMPONS,PAT_ENC_CSN_ID,Y,1
ONE_PAGER_REVIEW_COMPONS,PAT_ID,Y,4
ONE_PAGER_REVIEW_COMPONS,CM_CT_OWNER_ID,Y,6
ONE_PAGER_REVIEW_INFO,PAT_ENC_CSN_ID,Y,1
ONE_PAGER_REVIEW_INFO,PAT_ID,Y,3
ONE_PAGER_REVIEW_INFO,CM_CT_OWNER_ID,Y,5
ONE_PAGER_REVIEW_INFO,REVIEWED_USER_ID,Y,7
OOC_DETAILS,OUT_OF_CONTACT_ID,Y,1
OPER_PROV_SEC_ID,RECORD_ID,Y,1
OPER_PROV_SEC_ID,OPER_PROV_SEC_ID,Y,4
OPE_CASELOG_ADDL_INFO,OPE_ID,Y,1
OPE_CASELOG_ADDL_INFO,CASELOG_LOG_ID,Y,3
OPE_CASELOG_ADDL_INFO,CASELOG_CASE_ID,Y,5
OPE_CONTACT_INFO,OPE_ID,Y,1
OPE_INFO,OPE_ID,Y,1
OPE_INFO,ACCT_ID,Y,3
OPE_INFO,PAT_LINK_ID,Y,5
OPE_RESULTS,OPE_ID,Y,1
OPE_RESULTS,RESULT_ID,Y,3
OPH_EXAM_DATA,PAT_ENC_CSN_ID,Y,1
OPH_IPROC_INFO,ORDER_ID,Y,1
OPH_IPROC_INFO,IPROC_USER_ID,Y,6
OPH_IPROC_INFO_VALUE,ORDER_ID,Y,1
OPH_L_FORMS_INDEX,PAT_ENC_CSN_ID,Y,1
