table_name,column_name,is_primary_key,ordinal_position
RADIOLOG_FINDINGS,RESULT_ID,Y,1
RADIOTHERAPY_AUDIT_TRAIL,RT_SUMMARY_ID,Y,1
RADIOTHERAPY_CHILD_PHASES,RT_SUMMARY_ID,Y,1
RADIOTHERAPY_CHILD_PHASES,PHASE_ERT_SUMMARY_CSN_ID,Y,4
RADIOTHERAPY_CHILD_PLANS,RT_SUMMARY_ID,Y,1
RADIOTHERAPY_CHILD_PLANS,PLAN_ERT_SUMMARY_CSN_ID,Y,4
RADIOTHERAPY_CONTACT_INFO,RT_SUMMARY_ID,Y,1
RADIOTHERAPY_CONTACT_INFO,ERT_SUMMARY_CSN_ID,Y,4
RADIOTHERAPY_CONTACT_INFO,CM_CT_OWNER_ID,Y,7
RADIOTHERAPY_CONTACT_INFO,PARENT_RT_SUMMARY_ID,Y,9
RADIOTHERAPY_CONTACT_INFO,REQUESTER_USER_ID,Y,13
RADIOTHERAPY_CONTACT_INFO,REQUESTER_LAB_ID,Y,19
RADIOTHERAPY_CONTACT_INFO,REQUESTER_REGISTRY_ID,Y,21
RADIOTHERAPY_CONTACT_INFO,ANTECEDENT_RT_SUMMARY_ID,Y,30
RADIOTHERAPY_COURSES,SUMMARY_BLOCK_ID,Y,1
RADIOTHERAPY_COURSES,RT_COURSE_ERT_SUMMARY_ID,Y,3
RADIOTHERAPY_DICOM_INFO,RT_SUMMARY_ID,Y,1
RADIOTHERAPY_ENERGY,RT_SUMMARY_ID,Y,1
RADIOTHERAPY_ENERGY_UNIT,RT_SUMMARY_ID,Y,1
RADIOTHERAPY_IDENTIFIERS,RT_SUMMARY_ID,Y,1
RADIOTHERAPY_ISOTOPE,RT_SUMMARY_ID,Y,1
RADIOTHERAPY_MODALITY,RT_SUMMARY_ID,Y,1
RADIOTHERAPY_RECORD_INFO,RT_SUMMARY_ID,Y,1
RADIOTHERAPY_RECORD_INFO,CM_PHY_OWNER_ID,Y,2
RADIOTHERAPY_RECORD_INFO,CM_LOG_OWNER_ID,Y,3
RADIOTHERAPY_RECORD_INFO,PAT_ID,Y,6
RADIOTHERAPY_TECHNIQUE,RT_SUMMARY_ID,Y,1
RADIOTHERAPY_TECHNIQ_TEXT,RT_SUMMARY_ID,Y,1
RAD_THERAPY_ASSOC_COURSE,ORDER_ID,Y,1
RAD_THERAPY_ASSOC_COURSES,SUMMARY_BLOCK_ID,Y,1
RAD_THERAPY_EPISODE_INFO,SUMMARY_BLOCK_ID,Y,1
RAD_THP_COMPLETION_NOTES,SUMMARY_BLOCK_ID,Y,1
RAD_THP_COMPLETION_NOTES,TREATMENT_COMPLETION_NOTE_ID,Y,3
RAD_THP_PLANNING_NOTES,SUMMARY_BLOCK_ID,Y,1
RAD_THP_PLANNING_NOTES,TREATMENT_PLANNING_NOTE_ID,Y,3
RAD_THP_TREATMENT_SITE,SUMMARY_BLOCK_ID,Y,1
RAD_THP_VOLUME_IDENT,ORG_RECORD_ID,Y,1
RAD_THP_VOLUME_LOC_QUAL,ORG_RECORD_ID,Y,1
RAD_THP_VOLUME_MORPH,ORG_RECORD_ID,Y,1
RATE_TBL,RATE_TABLE_ID,Y,1
RA_CDI_REVIEW,CODING_RECORD_ID,Y,1
RA_CDI_REVIEW,REC_SRC_CODING_RECORD_CSN_ID,Y,14
RDI_PAT_CSN,REGISTRY_DATA_ID,Y,1
RDSR_DERIVED_DOSE,IMY_ID,Y,1
RDSR_DEV_OBS_UID,IMY_ID,Y,1
RDSR_DOSE_SOURCE,IMY_ID,Y,1
RDSR_PERS_OBS_NAME,IMY_ID,Y,1
RDSR_XRAY_SRC_PARAMS,IMY_ID,Y,1
REACTIVATED_EXP_ORDERS,REACTIVATED_ORDER_ID,Y,2
REACTIVATED_EXP_ORDERS,EVENT_ID,Y,4
READING_ACTIVITIES,ORDER_ID,Y,1
READING_ACTIVITIES,READING_ADV_ACT_ID,Y,3
RECENT_PAT_COMP_DTREES,ORDER_ID,Y,1
RECENT_PAT_COMP_DTREES,ANSWER_ID,Y,3
RECONCILE_CLAIM_STATUS,CLAIM_RECON_ID,Y,1
RECONCILE_CLM,CLAIM_REC_ID,Y,1
RECONCILE_CLM,BUCKET_ID,Y,8
RECONCILE_CLM,HSP_ACCOUNT_ID,Y,9
RECONCILE_CLM,CLAIM_RUN_ID,Y,12
RECONCILE_CLM,PRINT_USER_ID,Y,20
RECONCILE_CLM,REJ_CLM_MEMBER_ID,Y,28
RECONCILE_CLM_EXT,CLAIM_RECON_ID,Y,1
RECONCILE_CLM_OT,CLAIM_REC_ID,Y,1
RECONCILE_CLM_OT,CM_CT_OWNER_ID,Y,14
RECONCILE_CLM_OT,CLAIM_RECON_CSN_ID,Y,52
RECONCILE_CLSD_TX,CLAIM_REC_ID,Y,1
RECONCILE_CLSD_TX,REC_CLOSED_TX_ID,Y,3
RECONCILE_EXT_ERROR_INFO,CLAIM_RECON_ID,Y,1
RECONCILE_EXT_ERROR_INFO,DUPLICATE_EPIC_CLAIM_ID,Y,9
RECONCILE_MA_RA_DX_INFO,CLAIM_RECON_ID,Y,1
RECONCILE_MA_RA_INFO,CLAIM_RECON_ID,Y,1
RECONCILE_PAYOR_CONTACT,CLAIM_RECON_ID,Y,1
RECONCILE_RESP_CNTCT_ADDR,CLAIM_RECON_ID,Y,1
RECONCILE_RESP_CONTACT,CLAIM_RECON_ID,Y,1
RECONCILE_SVC_ACCD,CLAIM_RECON_ID,Y,1
RECONCILE_SVC_ACDT,CLAIM_RECON_ID,Y,1
RECONCILE_SVC_CTCD,CLAIM_RECON_ID,Y,1
RECONCILE_SVC_CTDT,CLAIM_RECON_ID,Y,1
RECONCILE_SVC_EXT,CLAIM_RECON_ID,Y,1
RECONCILE_SVC_EXT_IDENT,CLAIM_RECON_ID,Y,1
RECONCILE_SVC_EXT_NAME,CLAIM_RECON_ID,Y,1
RECONCILE_SVC_EXT_NAME,CM_CT_OWNER_ID,Y,6
RECONCILE_SVC_INFO_REQ_CD,CLAIM_RECON_ID,Y,1
RECONCILE_SVC_LINE,CLAIM_REC_ID,Y,1
RECONCILE_SVC_MSG,CLAIM_RECON_ID,Y,1
RECONCILE_SVC_STCD,CLAIM_RECON_ID,Y,1
RECONCILE_SVC_STDT,CLAIM_RECON_ID,Y,1
REC_LINK_AUDIT_ACT,FINDING_ID,Y,1
REC_LINK_AUDIT_ASN,FINDING_ID,Y,1
REC_LINK_AUDIT_CHG,FINDING_ID,Y,1
REC_LINK_AUDIT_DTL,FINDING_ID,Y,1
REC_LINK_AUDIT_ORD,FINDING_ID,Y,1
REC_LINK_AUDIT_ORD,AUDIT_ORDER_ID,Y,4
REC_LINK_AUDIT_TRL,FINDING_ID,Y,1
REC_LINK_AUDIT_TRL,AUDIT_USER_ID,Y,4
REC_NOTES,FINDING_ID,Y,1
REC_NOTES,REC_NOTE_ID,Y,3
REC_STAT_CHNG_CMT,FINDING_ID,Y,1
REFERRAL,REFERRAL_ID,Y,1
REFERRAL,PAT_ID,Y,3
REFERRAL,REFERRING_PROV_ID,Y,7
REFERRAL,COVERAGE_ID,Y,28
REFERRAL,CARRIER_ID,Y,31
REFERRAL,RFL_LOB_ID,Y,55
REFERRAL,PREAUTH_CHG_EMP_ID,Y,73
REFERRAL,EOW_ID,Y,80
REFERRAL,REF_TO_PROV_ADDR_ID,Y,84
REFERRAL_2,REFERRAL_ID,Y,1
REFERRAL_2,CASE_MGMT_CREATE_ID,Y,20
REFERRAL_2,QNR_HQA_ID,Y,22
REFERRAL_3,REFERRAL_ID,Y,1
REFERRAL_4,REFERRAL_ID,Y,1
REFERRAL_4,ATTEND_PROV_ADDR_ID,Y,2
REFERRAL_5,REFERRAL_ID,Y,1
REFERRAL_5,EMSG_COMM_PAT_ENC_CSN_ID,Y,16
REFERRAL_5,EMSG_COMM_JOB_ID,Y,17
REFERRAL_5,FIRST_PAT_ENC_CSN_ID,Y,41
REFERRAL_5,LAST_PAT_ENC_CSN_ID,Y,42
REFERRAL_5,MED_ESTIMATE_CSN_ID,Y,57
REFERRAL_ADDL_PROV,REFERRAL_ID,Y,1
REFERRAL_APT,REFERRAL_ID,Y,1
REFERRAL_APT,CHARGE_ID,Y,5
REFERRAL_APT,CLAIM_ID,Y,6
REFERRAL_APT,USER_ID,Y,8
REFERRAL_APT,EXT_APPT_UNIQ_ID,Y,16
REFERRAL_ATTACHMENTS,REFERRAL_ID,Y,1
REFERRAL_ATTACHMENTS,DOC_ID,Y,3
REFERRAL_ATTACHMENTS,DOC_ATTACH_USER_ID,Y,4
REFERRAL_BED_DAY,REFERRAL_ID,Y,1
REFERRAL_BED_DAY,BED_DAY_TYPE_ID,Y,5
REFERRAL_BED_DAY_NOTES,REFERRAL_ID,Y,1
REFERRAL_BED_DAY_NOTES,BED_DAY_NOTE_ID,Y,4
REFERRAL_CE_CODE,REFERRAL_ID,Y,1
REFERRAL_CE_DX_TXT,REFERRAL_ID,Y,1
REFERRAL_CE_PX,REFERRAL_ID,Y,1
REFERRAL_CE_PX_TXT,REFERRAL_ID,Y,1
REFERRAL_CE_REASON,REFERRAL_ID,Y,1
REFERRAL_CLINICAL_DOC,REFERRAL_ID,Y,1
REFERRAL_CLINICAL_DOC,DOC_ROI_ID,Y,3
REFERRAL_CLIN_DOC_ACNS,REFERRAL_ID,Y,1
REFERRAL_CROSS_ORG,REFERRAL_ID,Y,1
REFERRAL_CROSS_ORG,CROSS_ORG_RFL_ORGANIZATION_ID,Y,4
REFERRAL_CVG,REFERRAL_ID,Y,1
REFERRAL_CVG,CVG_ID,Y,3
REFERRAL_CVG_AUTH,REFERRAL_ID,Y,1
REFERRAL_CVG_AUTH,AUTH_CERT_CVG_ID,Y,3
REFERRAL_CVG_AUTH,PRE_CERT_AGENCY_ID,Y,6
REFERRAL_CVG_AUTH,PRE_CERT_RCV_ID,Y,12
REFERRAL_CVG_AUTH,PRE_CERT_BN_USR_ID,Y,22
REFERRAL_CVG_AUTH,PRECERT_CMT_NOTE_ID,Y,42
REFERRAL_CVG_AUTH,PRECERT_BEN_NOTE_ID,Y,43
REFERRAL_CVG_BED,REFERRAL_ID,Y,1
REFERRAL_CVG_BED,AUTH_CERT_BDCVG_ID,Y,3
REFERRAL_DX,REFERRAL_ID,Y,1
REFERRAL_DX_MODIFIERS,REFERRAL_ID,Y,1
REFERRAL_DX_MODIFIERS,DX_MODIFIER_ID,Y,4
REFERRAL_DX_NOTES,REFERRAL_ID,Y,1
REFERRAL_EOB_CODES,REFERRAL_ID,Y,1
REFERRAL_FLAGS,REFERRAL_ID,Y,1
REFERRAL_HIST,REFERRAL_ID,Y,1
REFERRAL_HIST,CHANGE_USER_ID,Y,5
REFERRAL_HIST,AUTH_HX_NOTE_ID,Y,10
REFERRAL_MESSAGE,REFERRAL_ID,Y,1
REFERRAL_NOTES,REFERRAL_ID,Y,1
REFERRAL_NOTES,NOTE_ID,Y,3
REFERRAL_NOTES,NOTE_USER_ID,Y,4
REFERRAL_NOTIF_HIS,REFERRAL_ID,Y,1
REFERRAL_NOTIF_HIS,LTR_HX_ROI_ID,Y,4
REFERRAL_NOTIF_HIS,EVENT_ID,Y,8
REFERRAL_NOTIF_HIS,OWNING_INSTANCE_ID,Y,11
REFERRAL_NOTIF_HIS_NOTES,REFERRAL_ID,Y,1
REFERRAL_NOTIF_HIS_NOTES,NOTIF_HX_NOTE_ID,Y,4
REFERRAL_ORG_FILTER_SA,REFERRAL_ID,Y,1
