table_name,column_name,is_primary_key,ordinal_position
TAPER_TRIMMING_DECISION,ORDER_ID,Y,1
TARGET_TASK_ASMTS,ACTIVITY_ID,Y,1
TARGET_TASK_ASMTS,TARGET_PAT_ENC_CSN_ID,Y,3
TARGET_TASK_ASMTS,TARGET_ASSESSED_USER_ID,Y,7
TAR_INFO,REFERRAL_ID,Y,1
TAR_INFO,TAR_CVG_ID,Y,3
TAR_SVC_LN_INFO,REFERRAL_ID,Y,1
TAR_SVC_LN_INFO,TAR_SVC_LN_CVG_ID,Y,11
TASKS,PAT_ENC_CSN_ID,Y,1
TASKS,CM_CT_OWNER_ID,Y,5
TASKS,TASKS_ID,Y,6
TASK_ANC_EVT_INFO,TASK_ID,Y,1
TASK_ANC_EVT_INFO,ANC_EVT_ENC_CSN_ID,Y,4
TASK_ANC_EVT_INFO,ANC_EVT_LPP_ID,Y,9
TASK_COMMENTS,TASK_ID,Y,1
TASK_COMPLETED_ENC,TASK_ID,Y,1
TASK_INFO,RECORD_ID,Y,1
TASK_LINKED_ENC,ACTIVITY_ID,Y,1
TASK_LINKED_EXT_ENC,ACTIVITY_ID,Y,1
TASK_LINKED_EXT_ENC,EXT_ORGANIZATION_ID,Y,4
TASK_LOG,ACTIVITY_ID,Y,1
TASK_LOG,MYPT_ID,Y,6
TASK_LOG,FREQ_ID,Y,9
TASK_LOG,GOAL_ID,Y,13
TASK_LOG_ADD_TASK_INST,ACTIVITY_ID,Y,1
TASK_LOG_ADD_TASK_INST,OUTREACH_CSN_ID,Y,4
TASK_LOG_CLEAN_TASK_INST,ACTIVITY_ID,Y,1
TASK_LOG_CLEAN_TASK_INST,OUTREACH_CSN_ID,Y,4
TASK_LOG_REMV_TASK_INST,ACTIVITY_ID,Y,1
TASK_LOG_REMV_TASK_INST,OUTREACH_CSN_ID,Y,4
TASK_LTR,TASK_ID,Y,1
TASK_MED_PRBLM_LIST,ACTIVITY_ID,Y,1
TASK_MED_PRBLM_LIST,ORDER_ID,Y,3
TASK_NOTIFY,ACTIVITY_ID,Y,1
TASK_ORD_LINK,ACTIVITY_ID,Y,1
TASK_ORD_LINK,OUTPAT_ORDER_ID,Y,4
TASK_PATIENT_ACTIVITY,ACTIVITY_ID,Y,1
TASK_PATIENT_ACTIVITY,GOAL_ID,Y,7
