Letter,Table_Name,PK_Column_Count,Status,Error,Processing_Time
A,ABN_DOCUMENT_ID,2,Success,,1.179116
A,ABN_FOLLOW_UP,3,Success,,1.393422
A,ABN_MEDICATIONS,1,Success,,1.081012
A,ABN_NOTES,5,Success,,2.021519
A,ABN_NOTE_COMMENTS,2,Success,,1.224271
A,ABN_NOTE_CONTACT_SERVICE,1,Success,,1.60686
A,ABN_NOTE_PROC,1,Success,,1.047059
A,ABN_ORDERS,2,Success,,1.115311
A,ABN_ORDER_INFO,1,Success,,1.101424
A,ABN_PLAN_INFO,2,Success,,1.144158
A,ABN_SERVICE_INFO,1,Success,,1.209641
A,ACCCATH3_MED_DISCH,1,Success,,1.109605
A,ACCESSIBLE_DOCUMENTS_PREF,1,Success,,1.159769
A,ACCESSIBLE_SERVICES,1,Success,,1.187472
A,ACCOUNT,9,Success,,6.225686
A,ACCOUNT_2,8,Success,,4.806959
A,ACCOUNT_3,3,Success,,2.737956
A,ACCOUNT_CONS_SP_SA_BILL,2,Success,,2.331082
A,ACCOUNT_CONTACT,5,Success,,2.246424
A,ACCOUNT_CONTACT_2,2,Success,,1.142852
A,ACCOUNT_CREATION,1,Success,,1.136997
A,ACCOUNT_DISCON_CVG,2,Success,,1.119137
A,ACCOUNT_FPL_INFO,2,Success,,2.145782
A,ACCOUNT_MYC_GP_FAILED_LOG,1,Success,,1.091161
A,ACCOUNT_RQG_GROUPERS,2,Success,,1.055399
A,ACCOUNT_STATUS,1,Success,,1.064907
A,ACCOUNT_VIS_ACT_HX,3,Success,,1.469943
A,ACCT_ADDL_FPL_INFO,1,Success,,1.221732
A,ACCT_ADDR,1,Success,,1.031216
A,ACCT_COLL_AGENCY_HX,2,Success,,1.330528
A,ACCT_COVERAGE,2,Success,,1.185758
A,ACCT_EB_LTFEE_HIST,1,Success,,1.159559
A,ACCT_EB_STMT_HIST,2,Success,,4.353207
A,ACCT_EB_STMT_RSN,1,Success,,1.468344
A,ACCT_GUAR_GROUPER,2,Success,,1.278197
A,ACCT_GUAR_PAT_INFO,2,Success,,1.26902
A,ACCT_HB_BNOTE,1,Success,,1.089924
A,ACCT_HB_STMT_RSN,1,Success,,1.198465
A,ACCT_HOME_PHONE_HX,1,Success,,1.23643
A,ACCT_LTF_ETR_LIST,1,Success,,1.082277
A,ACCT_LTF_HAR_LIST,1,Success,,1.10792
A,ACCT_NOTEPAD,1,Success,,1.43763
A,ACCT_PB_BILL_NOTE,1,Success,,1.143029
A,ACCT_PB_STMT_RSN,1,Success,,1.154882
A,ACCT_PP_BSP_LIST_REPL,2,Success,,1.181906
A,ACCT_PP_HAR_LIST_REPL,1,Success,,1.127348
A,ACCT_TX,2,Success,,1.092054
A,ACCT_WORK_PHONE_HX,1,Success,,1.212943
A,ACCUM_GENERAL,6,Success,,1.552642
A,ACCUM_GRP_GENERAL,6,Success,,1.777278
A,ACCUM_GRP_SVC_DATE,1,Success,,1.119748
A,ACCUM_INSTANCES,3,Success,,1.477304
A,ACIB_MISC_HD_INF,1,Success,,1.227619
A,ACTIONABLE_FINDING_CANCER,1,Success,,1.724756
A,ACTIVE_ASYNC_BPAS,1,Success,,1.055621
A,ACT_ORD_TRANS,2,Success,,1.139089
A,ACUITY_CONFIG,1,Success,,0.996625
A,ACUITY_RULE_SCORE,2,Success,,1.450675
A,ACUITY_SCORE_SPECIFIC,2,Success,,50.270709
A,ADDENDUM_VERSIONS,1,Success,,1.127888
A,ADDITIONAL_EM_CODE,2,Success,,1.388651
A,ADDL_PATH_FINDINGS,1,Success,,1.683232
A,ADDL_PAT_FND_AF,1,Success,,1.061059
A,ADDL_PREP_STAFF,1,Success,,1.073949
A,ADDR_HX,1,Success,,1.871328
A,ADDR_HX_DESC,1,Success,,1.188405
A,ADDR_HX_STREET,1,Success,,1.095794
A,ADD_PATH_ENDOMET,1,Success,,1.202021
A,ADD_PATH_GASTRITIS,1,Success,,1.121066
A,ADD_PATH_PARATHYRO,1,Success,,1.162432
A,ADD_PATH_THYROID,1,Success,,1.102646
A,ADJCNT_OGN_IVLV_2,1,Success,,1.12765
A,ADJCNT_ORGAN_IVLV,1,Success,,1.086091
