table_name,column_name,primary_key,ordinal_position,type,discontinued,description
BACK_TABLE_PREP_TYPE,ORG_RECORD_ID,N,1,NUMERIC,No,The unique identifier for the organ record. The unique identifier for the organ record.
BACK_TABLE_PREP_TYPE,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
BACK_TABLE_PREP_TYPE,BACK_TABLE_TYPE_C_NAME,N,3,VARCHAR,No,"Specify the types of back table preparation that occurred for the donor organ.
May contain organization-specific values: Yes
Category Entries:
Venous anastomosis
Venous extension
Arterial anastomosis
Arterial extension Specify the types of back table preparation that occurred for the donor organ. May contain organization-specific values: Yes Category Entries: Venous anastomosis Venous extension Arterial anastomosis Arterial extension"
BACK_TBL_FLSH,ORG_RECORD_ID,N,1,NUMERIC,No,The unique identifier for the organ record. The unique identifier for the organ record.
BACK_TBL_FLSH,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
BACK_TBL_FLSH,BACK_TBL_FLSH_C_NAME,N,3,VARCHAR,No,"Indicates the back table flush solution used during organ preparation prior to the transplant surgery.
May contain organization-specific values: Yes
Category Entries:
HTK
UW
UW Modified
Euro-Collins
Perfadex
Colloid
Custodiol
Saline
Blood
Crystalloid
Albumin
LR
St. Thomas
Other Indicates the back table flush solution used during organ preparation prior to the transplant surgery. May contain organization-specific values: Yes Category Entries: HTK UW UW Modified Euro-Collins Perfadex Colloid Custodiol Saline Blood Crystalloid Albumin LR St. Thomas Other"
BACK_TBL_TEAM,ORG_RECORD_ID,N,1,NUMERIC,No,The unique identifier for the organ record. The unique identifier for the organ record.
BACK_TBL_TEAM,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
BACK_TBL_TEAM,PROV_ID_PROV_NAME,N,3,VARCHAR,No,The name of the service provider. This item may be hidden in a public view of the CLARITY_SER table. The name of the service provider. This item may be hidden in a public view of the CLARITY_SER table.
BAT_DB_MAIN,BATCH_NUMBER_ID,N,1,VARCHAR,No,The unique ID of the batch. The unique ID of the batch.
BAT_DB_MAIN,BATCH_COMMENT_ID,N,2,VARCHAR,No,The unique ID for the comment on the batch. The unique ID for the comment on the batch.
BAT_MSTR_DB_MAIN,BATCH_TYPE_ID,N,1,VARCHAR,No,The unique ID of the batch master type. The unique ID of the batch master type.
BAT_MSTR_DB_MAIN,BATCH_TYPE_ID_BATCH_TYPE_NAME,N,2,VARCHAR,No,The name of the batch master type. The name of the batch master type.
BAT_MSTR_DB_MAIN,BATCH_TYPE_NAME,N,3,VARCHAR,No,The name of the batch master type. The name of the batch master type.
BAT_REL_GRP,BATCH_NUMBER_ID,N,1,VARCHAR,No,The ID of the batch. The ID of the batch.
BAT_REL_GRP,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
BAT_REL_GRP,PAT_ID,N,3,VARCHAR,No,The unique ID of the patient record for this row. This column is frequently used to link to the PATIENT table. The unique ID of the patient record for this row. This column is frequently used to link to the PATIENT table.
BAT_REL_GRP,RQG_GROUPER_ID,N,4,NUMERIC,No,The unique ID of the requisition grouper patient record for this row. This column is frequently used to link to the RQG_DB_MAIN table. The unique ID of the requisition grouper patient record for this row. This column is frequently used to link to the RQG_DB_MAIN table.
BAT_REQ_IN_BATCH,BATCH_NUMBER_ID,N,1,VARCHAR,No,The unique ID of the batch. The unique ID of the batch.
BAT_REQ_IN_BATCH,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
BAT_REQ_IN_BATCH,REQUISITION_ID,N,3,NUMERIC,No,The requisition IDs that are included in the batch. The requisition IDs that are included in the batch.
BAT_REQ_IN_BATCH,REQ_PAT_ID,N,4,VARCHAR,No,The unique ID of the patient record for this row. This column is frequently used to link to the PATIENT table. The unique ID of the patient record for this row. This column is frequently used to link to the PATIENT table.
BAT_REQ_IN_BATCH,REQ_RQG_GROUPER_ID,N,5,NUMERIC,No,The unique ID of the requisition grouper patient record for this row. This column is frequently used to link to the RQG_DB_MAIN table. The unique ID of the requisition grouper patient record for this row. This column is frequently used to link to the RQG_DB_MAIN table.
BDC_ADDL_CLAIM_STS_CSN,BDC_ID,N,1,NUMERIC,No,The unique identifier (.1 item) for the den/corr rec record. The unique identifier (.1 item) for the den/corr rec record.
BDC_ADDL_CLAIM_STS_CSN,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
BDC_ADDL_CLAIM_STS_CSN,ADDL_CLAIM_RECON_CSN_ID,N,3,NUMERIC,No,This item stores contact serial numbers of claim reconciliaiton record that contribute to an existing claim status follow-up record. This item stores contact serial numbers of claim reconciliaiton record that contribute to an existing claim status follow-up record.
BDC_ASSOC_REMARK_CODES,BDC_ID,N,1,NUMERIC,No,The unique identifier for the denial/correspondence record. The unique identifier for the denial/correspondence record.
BDC_ASSOC_REMARK_CODES,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
BDC_ASSOC_REMARK_CODES,REMARK_CODE_ID,N,3,VARCHAR,No,Remark codes associated with the denial reason code. Remark codes associated with the denial reason code.
BDC_ASSOC_REMARK_CODES,REMARK_CODE_ID_REMIT_CODE_NAME,N,4,VARCHAR,No,The name of each remittance code. The name of each remittance code.
BDC_CLAIM_STATUS,BDC_ID,N,1,NUMERIC,No,The unique identifier (.1 item) for the den/corr rec record. The unique identifier (.1 item) for the den/corr rec record.
BDC_CLAIM_STATUS,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
BDC_CLAIM_STATUS,CLAIM_STAT_RSN_C_NAME,N,3,VARCHAR,No,"Status reason code of the claim status message linked to the claim status follow-up record.
May contain organization-specific values: No
Category Entries:
Bundling
Capitation
Claim Error
Coding Issue
Contract/Benefit Related
Coordination of Benefits
Correspondence
Coverage Issue
Credentialing
Duplicate Claim
Medical Necessity
Missing Claim
Patient Responsibility
Payer Review
Payment Deferred
Remittance Expected
Pending Adjudication
Referral/Authorization Issue
Registration Issue
Additional Documentation Request
Submission Error
Timely Filing
Other
Third Party Liability
Non-Covered Status reason code of the claim status message linked to the claim status follow-up record. May contain organization-specific values: No Category Entries: Bundling Capitation Claim Error Coding Issue Contract/Benefit Related Coordination of Benefits Correspondence Coverage Issue Credentialing Duplicate Claim Medical Necessity Missing Claim Patient Responsibility Payer Review Payment Deferred Remittance Expected Pending Adjudication Referral/Authorization Issue Registration Issue Additional Documentation Request Submission Error Timely Filing Other Third Party Liability Non-Covered"
BDC_CLAIM_STATUS,CLM_STATUS_CODE_C_NAME,N,4,VARCHAR,No,"Status code loaded from a ANSI 277 message from the payer that indicates the status of the claim.
May contain organization-specific values: Yes
Category Entries:
Unmapped code received Status code loaded from a ANSI 277 message from the payer that indicates the status of the claim. May contain organization-specific values: Yes Category Entries: Unmapped code received"
BDC_CLAIM_STATUS,CLM_STATUS_DATA,N,5,VARCHAR,No,Status code string for when the status code is unmapped. Status code string for when the status code is unmapped.
BDC_INFO,BDC_ID,N,1,NUMERIC,No,The unique identifier for the denial/correspondence record. The unique identifier for the denial/correspondence record.
