table_name,column_name,primary_key,ordinal_position,type,discontinued,description
FACE_TO_FACE_ORDERS,SUMMARY_BLOCK_ID,N,1,NUMERIC,No,The unique identifier for the summary block record. The unique identifier for the summary block record.
FACE_TO_FACE_ORDERS,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
FACE_TO_FACE_ORDERS,VERBAL_ORDER_ID,N,3,VARCHAR,No,The ID of a Face-to-Face verbal order. The ID of a Face-to-Face verbal order.
FAC_CHG_OVERRIDE,PAT_ENC_CSN_ID,N,1,NUMERIC,No,The unique contact serial number for this contact. This number is unique across all patient encounters in your system. If you use IntraConnect this is the Unique Contact Identifier (UCI). The unique contact serial number for this contact. This number is unique across all patient encounters in your system. If you use IntraConnect this is the Unique Contact Identifier (UCI).
FAC_CHG_OVERRIDE,PAT_ENC_DATE_REAL,N,2,FLOAT,No,This is a numeric representation of the date of this encounter in your system. The integer portion of the number specifies the date of the encounter. The digits after the decimal point indicate multiple visits on one day. This is a numeric representation of the date of this encounter in your system. The integer portion of the number specifies the date of the encounter. The digits after the decimal point indicate multiple visits on one day.
FAC_CHG_OVERRIDE,CONTACT_DATE,N,3,DATETIME,No,The date of this contact in calendar format. The date of this contact in calendar format.
FAC_CHG_OVERRIDE,CM_CT_OWNER_ID,N,4,VARCHAR,No,The Community ID (CID) of the deployment owner for this contact. The Community ID (CID) of the deployment owner for this contact.
FAC_CHG_OVERRIDE,FAC_CHG_CALC_SCR,N,5,INTEGER,No,Stores the calculated points for the ED facility charge scoring system. Stores the calculated points for the ED facility charge scoring system.
FAC_CHG_OVERRIDE,FAC_CHG_OVR_SYS_SCR,N,6,INTEGER,No,The user-entered score for the facility charge calculation. This overrides the calculated value during calculation of the charge level. The user-entered score for the facility charge calculation. This overrides the calculated value during calculation of the charge level.
FAC_CHG_OVERRIDE,FAC_CHG_OVR_USR_ID,N,7,VARCHAR,No,The ID of the last user to override the facility charge calculator score. The ID of the last user to override the facility charge calculator score.
FAC_CHG_OVERRIDE,FAC_CHG_OVR_USR_ID_NAME,N,8,VARCHAR,No,The name of the user record. This name may be hidden. The name of the user record. This name may be hidden.
FAC_CHG_OVERRIDE,FAC_CHG_OVR_INST,N,9,DATETIME (Local),No,The instant of the last facility charge calculation score. The instant of the last facility charge calculation score.
FAC_CHG_RULE_SCORE,PAT_ENC_CSN_ID,N,1,NUMERIC,No,The unique contact serial number for this contact. This number is unique across all patient encounters in your system. If you use IntraConnect this is the Unique Contact Identifier (UCI). The unique contact serial number for this contact. This number is unique across all patient encounters in your system. If you use IntraConnect this is the Unique Contact Identifier (UCI).
FAC_CHG_RULE_SCORE,LINE,N,2,INTEGER,No,The line number for the information associated with this contact. The line number for the information associated with this contact.
FAC_CHG_RULE_SCORE,PAT_ENC_DATE_REAL,N,3,FLOAT,No,This is a numeric representation of the date of this encounter in your system. The integer portion of the number specifies the date of the encounter. The digits after the decimal point indicate multiple visits on one day. This is a numeric representation of the date of this encounter in your system. The integer portion of the number specifies the date of the encounter. The digits after the decimal point indicate multiple visits on one day.
FAC_CHG_RULE_SCORE,CONTACT_DATE,N,4,DATETIME,No,
FAC_CHG_RULE_SCORE,FAC_CHG_CALC_SCRS,N,5,INTEGER,No,Stores the visit scores calculated by the facility charge calculator rules Stores the visit scores calculated by the facility charge calculator rules
FAC_CHG_RULE_SCORE,FAC_CHG_OVR_SCRS,N,6,INTEGER,No,The user-entered facility charge calculator scores for the individual rules that override the calculated scores. The user-entered facility charge calculator scores for the individual rules that override the calculated scores.
FAILED_ACCESS,PAT_ID,N,1,VARCHAR,No,The unique ID of the patient record for this row. This column is frequently used to link to the PATIENT table. The unique ID of the patient record for this row. This column is frequently used to link to the PATIENT table.
FAILED_ACCESS,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
FAILED_ACCESS,FAILED_DTTM_DTTM,N,3,DATETIME (Local),No,This item stores the instant a correct MyChart activation code was used with incorrect validation data. This item stores the instant a correct MyChart activation code was used with incorrect validation data.
FAILED_ACCESS,FAILED_IP,N,4,VARCHAR,No,This item stores the remote IP address from where a correct MyChart activation code was used with incorrect validation info. This item stores the remote IP address from where a correct MyChart activation code was used with incorrect validation info.
FAILED_ACCESS,FAILED_REASON_C_NAME,N,5,VARCHAR,No,"This item stores the validation field that failed when a correct MyChart activation code is used with incorrect validation info.
May contain organization-specific values: Yes
Category Entries:
Social Security Number
Last 4 Digits of Social Security Number
Medical Record Number
Date of Birth
Zip Code
Email Address
Phone Number This item stores the validation field that failed when a correct MyChart activation code is used with incorrect validation info. May contain organization-specific values: Yes Category Entries: Social Security Number Last 4 Digits of Social Security Number Medical Record Number Date of Birth Zip Code Email Address Phone Number"
FALLOP_TUB_SALPING,RESULT_ID,N,1,VARCHAR,No,The unique identifier for the result record. The unique identifier for the result record.
FALLOP_TUB_SALPING,CAP_COMMENTS,N,2,VARCHAR,No,CAP synoptic form item: General comments. CAP synoptic form item: General comments.
FALLOP_TUB_SALPING,SPEC_PROC_SPECIFY,N,3,VARCHAR,No,CAP synoptic form item: Specify the Specimen Procedure. CAP synoptic form item: Specify the Specimen Procedure.
FALLOP_TUB_SALPING,TUMOR_SIZE_GREAT,N,4,NUMERIC,No,CAP synoptic form item: Tumor Greatest Size. CAP synoptic form item: Tumor Greatest Size.
FALLOP_TUB_SALPING,TUMOR_SIZE_ADDL,N,5,NUMERIC,No,CAP synoptic form item: Tumor Size (length). CAP synoptic form item: Tumor Size (length).
FALLOP_TUB_SALPING,TUMOR_SIZE_ADDL2,N,6,NUMERIC,No,CAP synoptic form item: Tumor Size (width). CAP synoptic form item: Tumor Size (width).
FALLOP_TUB_SALPING,TUMOR_SIZE_SPECIFY,N,7,VARCHAR,No,CAP synoptic form item: Specify Tumor Size. CAP synoptic form item: Specify Tumor Size.
FALLOP_TUB_SALPING,HISTO_TYPE_SPECIFY,N,8,VARCHAR,No,CAP synoptic form item: Specify histologic type. CAP synoptic form item: Specify histologic type.
FALLOP_TUB_SALPING,MICRO_TMR_EXT_SPFY,N,9,VARCHAR,No,CAP synoptic form item: Specify Microscopic Tumor Extension. CAP synoptic form item: Specify Microscopic Tumor Extension.
FALLOP_TUB_SALPING,CLINICAL_HIST_SPFY,N,10,VARCHAR,No,CAP synoptic form item: Specify clinical history. CAP synoptic form item: Specify clinical history.
FALLOP_TUB_SALPING,SPECIMEN_OTHER_SPFY,N,11,VARCHAR,No,CAP synoptic form item: Specify other specimen. CAP synoptic form item: Specify other specimen.
FALLOP_TUB_SALPING,RIGHT_TUBE_OVARY_C_NAME,N,12,VARCHAR,No,"CAP synoptic form item: Right Fallopian Tube Relationship to Ovary.
May contain organization-specific values: Yes
Category Entries:
Not fused
Fused CAP synoptic form item: Right Fallopian Tube Relationship to Ovary. May contain organization-specific values: Yes Category Entries: Not fused Fused"
FALLOP_TUB_SALPING,LEFT_TUBE_OVARY_C_NAME,N,13,VARCHAR,No,"CAP synoptic form item: Left Fallopian Tube Relationship to Ovary.
The category values for this column were already listed for column: RIGHT_TUBE_OVARY_C_NAME CAP synoptic form item: Left Fallopian Tube Relationship to Ovary. The category values for this column were already listed for column: RIGHT_TUBE_OVARY_C_NAME"
FALLOP_TUB_SALPING,LEFT_TUBE_FIMBRI_C_NAME,N,14,VARCHAR,No,"CAP synoptic form item: Left Fallopian Tube Status of Fimbriated End.
May contain organization-specific values: Yes
Category Entries:
Open
Closed CAP synoptic form item: Left Fallopian Tube Status of Fimbriated End. May contain organization-specific values: Yes Category Entries: Open Closed"
FALLOP_TUB_SALPING,RIGHT_SPEC_INTEG_C_NAME,N,15,VARCHAR,No,"CAP synoptic form item: Specimen Integrity Right.
May contain organization-specific values: Yes
Category Entries:
Intact
Ruptured
Fragmented
Other CAP synoptic form item: Specimen Integrity Right. May contain organization-specific values: Yes Category Entries: Intact Ruptured Fragmented Other"
FALLOP_TUB_SALPING,RGT_SPEC_INTEG_SPFY,N,16,VARCHAR,No,CAP synoptic form item: Specify Specimen Integrity Right. CAP synoptic form item: Specify Specimen Integrity Right.
FALLOP_TUB_SALPING,LEFT_SPEC_INTEG_C_NAME,N,17,VARCHAR,No,"CAP synoptic form item: Specimen Integrity Left.
The category values for this column were already listed for column: RIGHT_SPEC_INTEG_C_NAME CAP synoptic form item: Specimen Integrity Left. The category values for this column were already listed for column: RIGHT_SPEC_INTEG_C_NAME"
FALLOP_TUB_SALPING,LFT_SPEC_INTEG_SPFY,N,18,VARCHAR,No,CAP synoptic form item: Specify Specimen Integrity Left. CAP synoptic form item: Specify Specimen Integrity Left.
FALLOP_TUB_SALPING,RIGHT_TUBE_FIMBRI_C_NAME,N,19,VARCHAR,No,"CAP synoptic form item: Right Fallopian Tube Status of Fimbriated End.
The category values for this column were already listed for column: LEFT_TUBE_FIMBRI_C_NAME CAP synoptic form item: Right Fallopian Tube Status of Fimbriated End. The category values for this column were already listed for column: LEFT_TUBE_FIMBRI_C_NAME"
