table_name,column_name,primary_key,ordinal_position,type,discontinued,description
HANDHELD_SYS_DEF,ID_NUMBER_ID,N,1,NUMERIC,No,The unique identifier for the configuration record. The unique identifier for the configuration record.
HANDHELD_SYS_DEF,ID_NUMBER_ID_RECORD_NAME,N,2,VARCHAR,No,The record name for the configuration record. The record name for the configuration record.
HANDHELD_SYS_DEF,RECORD_NAME,N,3,VARCHAR,No,The record name for the configuration record. The record name for the configuration record.
HANDOFF_EDIT_TEXT,HANDOFF_ID,N,1,NUMERIC,No,The unique identifier (.1 item) for the handoff record. The unique identifier (.1 item) for the handoff record.
HANDOFF_EDIT_TEXT,CONTACT_DATE_REAL,N,2,FLOAT,No,"A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc. A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc."
HANDOFF_EDIT_TEXT,LINE,N,3,INTEGER,No,The line number for the information associated with this contact. Multiple pieces of information can be associated with this contact. The line number for the information associated with this contact. Multiple pieces of information can be associated with this contact.
HANDOFF_EDIT_TEXT,CONTACT_DATE,N,4,DATETIME,No,The date of this contact in calendar format. The date of this contact in calendar format.
HANDOFF_EDIT_TEXT,EDIT_TEXT,N,5,VARCHAR,No,This item specifies the text of this handoff field. This item specifies the text of this handoff field.
HANDOFF_TASK_LIST,HANDOFF_ID,N,1,NUMERIC,No,The unique identifier (.1 item) for the handoff record. The unique identifier (.1 item) for the handoff record.
HANDOFF_TASK_LIST,CONTACT_DATE_REAL,N,2,FLOAT,No,"A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc. A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc."
HANDOFF_TASK_LIST,LINE,N,3,INTEGER,No,The line number for the information associated with this contact. Multiple pieces of information can be associated with this contact. The line number for the information associated with this contact. Multiple pieces of information can be associated with this contact.
HANDOFF_TASK_LIST,CONTACT_DATE,N,4,DATETIME,No,The date of this contact in calendar format. The date of this contact in calendar format.
HANDOFF_TASK_LIST,TASK_ID,N,5,VARCHAR,No,List of currently active Handoff tasks List of currently active Handoff tasks
HAR_ALL,ACCT_ID,N,1,NUMERIC,No,This column stores the unique identifier for the hospital account. This column stores the unique identifier for the hospital account.
HAR_ALL,PAT_ID,N,2,VARCHAR,No,This column stores the unique identifier for the patient associated with this hospital account. This column stores the unique identifier for the patient associated with this hospital account.
HAR_ALL,PRIM_ENC_CSN_ID,N,3,NUMERIC,No,The contact serial number associated with the primary patient contact. The contact serial number associated with the primary patient contact.
HBP_STMT_HAR_DETAIL,HBP_PRINT_ID,N,1,NUMERIC,No,The unique identifier for the bill print record. The unique identifier for the bill print record.
HBP_STMT_HAR_DETAIL,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
HBP_STMT_HAR_DETAIL,HSP_ACCOUNT_ID,N,3,NUMERIC,No,The hospital account ID. The hospital account ID.
HBP_STMT_HAR_DETAIL,ADMIT_DATE,N,4,DATETIME,No,The admit date. The admit date.
HBP_STMT_HAR_DETAIL,DISCH_DATE,N,5,DATETIME,No,The discharge date. The discharge date.
HBP_STMT_HAR_DETAIL,FIRST_STMT_DATE,N,6,DATETIME,No,The first statement date. The first statement date.
HBP_STMT_HAR_DETAIL,NUM_PREV_STMTS_SENT,N,7,INTEGER,No,The number of previous statements sent. The number of previous statements sent.
HBP_STMT_HAR_DETAIL,PRIM_DX_ID_DX_NAME,N,8,VARCHAR,No,The name of the diagnosis. The name of the diagnosis.
HBP_STMT_HAR_DETAIL,PREV_STMT_DATE,N,9,DATETIME,No,The previous statement balance. The previous statement balance.
HBP_STMT_HAR_DETAIL,PREV_BAL,N,10,NUMERIC,No,The previous balance. The previous balance.
HBP_STMT_HAR_DETAIL,PREV_INS_BAL,N,11,NUMERIC,No,The previous insurance balance. The previous insurance balance.
HBP_STMT_HAR_DETAIL,TOT_CHG_AMT,N,12,NUMERIC,No,The total charge amount. The total charge amount.
HBP_STMT_HAR_DETAIL,NEW_CHG_AMT,N,13,NUMERIC,No,The new charge amount since the last statement. The new charge amount since the last statement.
HBP_STMT_HAR_DETAIL,NEW_PAT_CHG_AMT,N,14,NUMERIC,No,The new patient charge amount. The new patient charge amount.
HBP_STMT_HAR_DETAIL,NEW_INS_CHG_AMT,N,15,NUMERIC,No,The new insurance charge amount. The new insurance charge amount.
HBP_STMT_HAR_DETAIL,TOT_PMT_AMT,N,16,NUMERIC,No,The total payment amount. The total payment amount.
HBP_STMT_HAR_DETAIL,NEW_PMT_AMT,N,17,NUMERIC,No,The new payment amount since the last statement. The new payment amount since the last statement.
HBP_STMT_HAR_DETAIL,NEW_PAT_PMT_AMT,N,18,NUMERIC,No,The new patient payment amount. The new patient payment amount.
HBP_STMT_HAR_DETAIL,NEW_INS_PMT_AMT,N,19,NUMERIC,No,The new insurance payment amount. The new insurance payment amount.
HBP_STMT_HAR_DETAIL,TOT_ADJ_AMT,N,20,NUMERIC,No,The total adjustment amount. The total adjustment amount.
HBP_STMT_HAR_DETAIL,NEW_ADJ_AMT,N,21,NUMERIC,No,The new adjustment amount since the last statement. The new adjustment amount since the last statement.
HBP_STMT_HAR_DETAIL,NEW_PAT_ADJ_AMT,N,22,NUMERIC,No,The new patient adjustment amount. The new patient adjustment amount.
HBP_STMT_HAR_DETAIL,NEW_INS_ADJ_AMT,N,23,NUMERIC,No,The new insurance adjustment amount. The new insurance adjustment amount.
HBP_STMT_HAR_DETAIL,CURR_INS_BAL,N,24,NUMERIC,No,The current insurance balance. The current insurance balance.
HBP_STMT_HAR_DETAIL,CURR_BAL,N,25,NUMERIC,No,The current balance on the hospital account. The current balance on the hospital account.
HBP_STMT_HAR_DETAIL,CURR_PAT_LIABILITY_AMT,N,26,NUMERIC,No,The current patient liability amount. The current patient liability amount.
HBP_STMT_HAR_DETAIL,PAT_LIAB_SPLIT_UP,N,27,VARCHAR,No,The patient liability split-up. The patient liability split-up.
HBP_STMT_HAR_DETAIL,PMT_PLAN_INIT_BAL,N,28,NUMERIC,No,The initial balance on the payment plan. The initial balance on the payment plan.
HBP_STMT_HAR_DETAIL,PMT_PLAN_REMAINING_BAL,N,29,NUMERIC,No,The remaining balance on the payment plan. The remaining balance on the payment plan.
HBP_STMT_HAR_DETAIL,BUCKET_ID,N,30,NUMERIC,No,The liability bucket ID. The liability bucket ID.
HBP_STMT_HAR_DETAIL,IS_INFORMATIONAL_YN,N,31,VARCHAR,No,"Indicates whether or not the hospital account is on an informational statement.
May contain organization-specific values: No
Category Entries:
No
Yes Indicates whether or not the hospital account is on an informational statement. May contain organization-specific values: No Category Entries: No Yes"
HBP_STMT_HAR_DETAIL,CLAIM_PRINT_ID,N,32,NUMERIC,No,The claim print ID. The claim print ID.
HBP_STMT_HAR_DETAIL,SELFPAY_STATUS_C_NAME,N,33,VARCHAR,No,"The self-pay status.
May contain organization-specific values: No
Category Entries:
Full Self-Pay Due
Review
Payment Plan
Pre-collection
Bad Debt
Prorated The self-pay status. May contain organization-specific values: No Category Entries: Full Self-Pay Due Review Payment Plan Pre-collection Bad Debt Prorated"
HBP_STMT_HAR_DETAIL,SP_LEVEL_C_NAME,N,34,VARCHAR,No,"The self-pay follow-up level.
May contain organization-specific values: No
Category Entries:
Level 1
Level 2
Level 3
Level 4
Level 5
Level 6
Level 7
Level 8
Level 9
Level 10 The self-pay follow-up level. May contain organization-specific values: No Category Entries: Level 1 Level 2 Level 3 Level 4 Level 5 Level 6 Level 7 Level 8 Level 9 Level 10"
HBP_STMT_HAR_DETAIL,FOLLOW_UP_LEVEL,N,35,INTEGER,No,The follow-up level. The follow-up level.
HBP_STMT_HAR_DETAIL,COLLECTION_STATUS_C_NAME,N,36,VARCHAR,No,"The collection status.
May contain organization-specific values: No
Category Entries:
Active AR
External AR
Bad Debt
Outsourced
Received Self-Pay Active AR
Received Self-Pay External AR
Received Self-Pay Bad Debt The collection status. May contain organization-specific values: No Category Entries: Active AR External AR Bad Debt Outsourced Received Self-Pay Active AR Received Self-Pay External AR Received Self-Pay Bad Debt"
HBP_STMT_HAR_DETAIL,COLL_AGENCY_ID,N,37,NUMERIC,No,The collection agency. The collection agency.
HBP_STMT_HAR_DETAIL,COLL_AGENCY_ID_COLL_AGENCY_NAME,N,38,VARCHAR,No,The name of the collection agency. The name of the collection agency.
HBP_STMT_HAR_DETAIL,IS_OUTSOURCED_YN,N,39,VARCHAR,No,"Indicates whether or not the hospital account has been outsourced.
The category values for this column were already listed for column: IS_INFORMATIONAL_YN Indicates whether or not the hospital account has been outsourced. The category values for this column were already listed for column: IS_INFORMATIONAL_YN"
HBP_STMT_PRINT,HBP_PRINT_ID,N,1,NUMERIC,No,The HB print record ID. The HB print record ID.
HBP_STMT_PRINT,BILL_RUN_TYPE_C_NAME,N,2,VARCHAR,No,"The type of bill print record.
May contain organization-specific values: Yes
Category Entries:
Hospital Account Detail Bill
Statement
Guarantor Detail Bill
Claim Detail Bill The type of bill print record. May contain organization-specific values: Yes Category Entries: Hospital Account Detail Bill Statement Guarantor Detail Bill Claim Detail Bill"
HBP_STMT_PRINT,IS_DEMAND_BILL_YN,N,3,VARCHAR,No,"Indicates whether or not this is a demand bill.
May contain organization-specific values: No
Category Entries:
Yes
No Indicates whether or not this is a demand bill. May contain organization-specific values: No Category Entries: Yes No"
HBP_STMT_PRINT,CURR_AMOUNT_DUE,N,4,NUMERIC,No,The current amount due. The current amount due.
HBP_STMT_PRINT,BILLED_DATE,N,5,DATETIME,No,The billed date. The billed date.
HBP_STMT_PRINT,STMT_DATE,N,6,DATETIME,No,The statement date. The statement date.
HBP_STMT_PRINT,ACCT_ID,N,7,NUMERIC,No,The guarantor account ID. The guarantor account ID.
HBP_STMT_PRINT,RESP_PARTY,N,8,VARCHAR,No,The responsible party. The responsible party.
HBP_STMT_PRINT,BILL_CITY,N,9,VARCHAR,No,The billing city of the guarantor. The billing city of the guarantor.
HBP_STMT_PRINT,BILL_STATE_C,N,10,VARCHAR,No,The billing state of the guarantor. The billing state of the guarantor.
HBP_STMT_PRINT,BILL_ZIP,N,11,VARCHAR,No,The billing zip of the guarantor. The billing zip of the guarantor.
HBP_STMT_PRINT,PREV_BAL,N,12,NUMERIC,No,The previous balance. The previous balance.
HBP_STMT_PRINT,PREV_AMT_DUE,N,13,NUMERIC,No,The previous amount due. The previous amount due.
HBP_STMT_PRINT,PREV_INS_BAL,N,14,NUMERIC,No,The previous insurance balance. The previous insurance balance.
HBP_STMT_PRINT,CURR_BAL,N,15,NUMERIC,No,The current balance. The current balance.
HBP_STMT_PRINT,GUAR_INS_DUE,N,16,NUMERIC,No,The insurance due amount on the guarantor. The insurance due amount on the guarantor.
HBP_STMT_PRINT,PMT_PLAN_MONTHLY_AMT,N,17,NUMERIC,No,The monthly amount on the payment plan. The monthly amount on the payment plan.
HBP_STMT_PRINT,PMT_PLAN_TOT,N,18,NUMERIC,No,The total amount on the payment plan. The total amount on the payment plan.
HBP_STMT_PRINT,PMT_PLAN_BAL,N,19,NUMERIC,No,The payment plan balance. The payment plan balance.
HBP_STMT_PRINT,TOT_CHG_AMT,N,20,NUMERIC,No,The total charge amount. The total charge amount.
HBP_STMT_PRINT,GUAR_PMT_PLAN_AMT_DUE,N,21,NUMERIC,No,The amount due on the guarantor's payment plan. The amount due on the guarantor's payment plan.
HBP_STMT_PRINT,GUAR_PMT_PLAN_TOT,N,22,NUMERIC,No,The total amount on the guarantor's payment plan. The total amount on the guarantor's payment plan.
HBP_STMT_PRINT,GUAR_PMT_PLAN_BAL,N,23,NUMERIC,No,The balance on the guarantor's payment plan. The balance on the guarantor's payment plan.
