table_name,column_name,primary_key,ordinal_position,type,discontinued,description
IB_APPTS,MSG_ID,N,1,VARCHAR,No,The unique identifier for the task record. The unique identifier for the task record.
IB_APPTS,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
IB_APPTS,APPT_SERIAL_NUMBER,N,3,INTEGER,No,The unique appointment serial number of the encounter associated with the In Basket message. The unique appointment serial number of the encounter associated with the In Basket message.
IB_CALL_ACTION,MSG_ID,N,1,VARCHAR,No,The unique ID of the In Basket Message. The unique ID of the In Basket Message.
IB_CALL_ACTION,LINE,N,2,INTEGER,No,Line number to identify the call action within an In Basket Message. Line number to identify the call action within an In Basket Message.
IB_CALL_ACTION,CALL_ACTION_C_NAME,N,3,VARCHAR,No,"The category value associated with select actions that summarize the phone call and its necessary follow-up.
May contain organization-specific values: Yes
Category Entries:
Telephoned
Came to see you
Wants to see you
Returned your call
Please call
Will call again The category value associated with select actions that summarize the phone call and its necessary follow-up. May contain organization-specific values: Yes Category Entries: Telephoned Came to see you Wants to see you Returned your call Please call Will call again"
IB_CASES_LINKED,MSG_ID,N,1,VARCHAR,No,The unique identifier (.1 item) for the in basket message record. The unique identifier (.1 item) for the in basket message record.
IB_CASES_LINKED,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
IB_CASES_LINKED,CASES_LNKED_CASE_ID,N,3,VARCHAR,No,This item points to a Surgical Case (ORC). It may be used to point In Basket messages to multiple cases. This item points to a Surgical Case (ORC). It may be used to point In Basket messages to multiple cases.
IB_LAB_SPECIMEN_ID,MSG_ID,N,1,VARCHAR,No,The unique ID of the In Basket message record. The unique ID of the In Basket message record.
IB_LAB_SPECIMEN_ID,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
IB_LAB_SPECIMEN_ID,LAB_SPEC_ID,N,3,VARCHAR,No,The internal Specimen record identifier. The internal Specimen record identifier.
IB_LAB_TEST,MSG_ID,N,1,VARCHAR,No,The unique ID of the In Basket message record. The unique ID of the In Basket message record.
IB_LAB_TEST,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
IB_LAB_TEST,LAB_TEST_ID_TEST_NAME,N,3,VARCHAR,No,The name of the test record. The name of the test record.
IB_MESSAGES,MSG_ID,N,1,VARCHAR,No,The unique ID of the In Basket Message. The unique ID of the In Basket Message.
IB_MESSAGES,CREATE_TIME,N,2,DATETIME (Local),No,The time the message record was created. The time the message record was created.
IB_MESSAGES,REGARDING_TOPIC,N,3,VARCHAR,No,A short description of the message contents. A short description of the message contents.
IB_MESSAGES,PAT_ID,N,4,VARCHAR,No,The unique ID of the patient record for this row. This column is frequently used to link to the PATIENT table. The unique ID of the patient record for this row. This column is frequently used to link to the PATIENT table.
IB_MESSAGES,PAT_ENC_DATE_REAL,N,5,FLOAT,No,The encounter date of the patient associated with this message. The encounter date of the patient associated with this message.
IB_MESSAGES,SENDER_USER_ID,N,6,VARCHAR,No,The unique ID of the sender (networked to the User master file). The unique ID of the sender (networked to the User master file).
IB_MESSAGES,SENDER_USER_ID_NAME,N,7,VARCHAR,No,The name of the user record. This name may be hidden. The name of the user record. This name may be hidden.
IB_MESSAGES,NAME_OF_CALLER,N,8,VARCHAR,No,The name of the caller. The name of the caller.
IB_MESSAGES,TRANSCRIPTION_LINE,N,9,VARCHAR,No,This is the ID of the dictation transcription for a transcription created outside of Epic and sent to In Basket through an interface. It is networked to the Notes (HNO) master file. This is the ID of the dictation transcription for a transcription created outside of Epic and sent to In Basket through an interface. It is networked to the Notes (HNO) master file.
IB_MESSAGES,ORDER_PROC_ID,N,10,NUMERIC,No,The unique ID of the order procedure (networked to the Orders master file). The unique ID of the order procedure (networked to the Orders master file).
IB_MESSAGES,ORDER_MED_ID,N,11,NUMERIC,No,The unique ID of the order procedure (networked to the Orders master file). The unique ID of the order procedure (networked to the Orders master file).
IB_MESSAGES,ORD_DATE_REAL,N,12,FLOAT,No,The internal date of the ordered procedure. The internal date of the ordered procedure.
IB_MESSAGES,PAT_EMAIL_RESP_YN,N,13,VARCHAR,No,"Indicates if the patient wants an e-mail response to their In Basket message. Y indicates that the patient does want an e-mail response and N indicates that the patient does not want an e-mail response.
May contain organization-specific values: No
Category Entries:
YES
NO Indicates if the patient wants an e-mail response to their In Basket message. Y indicates that the patient does want an e-mail response and N indicates that the patient does not want an e-mail response. May contain organization-specific values: No Category Entries: YES NO"
IB_MESSAGES,APPT_STATUS_C,N,14,INTEGER,No,Appointment Notification Email Message Type - The Appointment Status of the specific encounter Appointment Notification Email Message Type - The Appointment Status of the specific encounter
IB_MESSAGES,CANCEL_REASON_C,N,15,INTEGER,No,"Appointment Notification Email Message Type - If the APPT_STATUS_C column is canceled, this column contains the link to the reason for cancellation Appointment Notification Email Message Type - If the APPT_STATUS_C column is canceled, this column contains the link to the reason for cancellation"
IB_MESSAGES,PAT_ENC_CSN_ID,N,16,NUMERIC,No,"A unique serial number for this encounter. This number is unique across all patients and encounters in the system. This column should be replaced with IB_MESSAGE_PAT_ENCS.PAT_ENC_CSN_ID instead. Historical records will still have this data populated, as well as data moving forward, but it may not contain all of the encounter contact serial numbers (CSNs) as the new column and table would A unique serial number for this encounter. This number is unique across all patients and encounters in the system. This column should be replaced with IB_MESSAGE_PAT_ENCS.PAT_ENC_CSN_ID instead. Historical records will still have this data populated, as well as data moving forward, but it may not contain all of the encounter contact serial numbers (CSNs) as the new column and table would"
IB_MESSAGES,PAT_ORDENC_DT_REAL,N,17,FLOAT,No,The new orders only encounter associated with this message. This will be used if a reflex action is performed on a result and the original contact is owned elsewhere. The new orders only encounter associated with this message. This will be used if a reflex action is performed on a result and the original contact is owned elsewhere.
IB_MESSAGES,DICT_HNO_ID,N,18,VARCHAR,No,This is the ID of the dictation transcription for a dictation transcribed in Epic (not in a third party system). It is networked to the notes (HNO) master file. This is the ID of the dictation transcription for a dictation transcribed in Epic (not in a third party system). It is networked to the notes (HNO) master file.
IB_MESSAGES,TASK_ID_ID,N,19,VARCHAR,No,Stores the task ID this message is associated with Stores the task ID this message is associated with
IB_MESSAGES,REFERRAL_ID,N,20,NUMERIC,No,Stores referral record that is related to the In Basket message Stores referral record that is related to the In Basket message
IB_MESSAGES,CLAIM_ID,N,21,NUMERIC,No,Stores claim record that is related to the In Basket message Stores claim record that is related to the In Basket message
IB_MESSAGES,ORGANIZATION_ID,N,22,NUMERIC,No,Stores the Care Everywhere organization related to this message Stores the Care Everywhere organization related to this message
