table_name,column_name,primary_key,ordinal_position,type,discontinued,description
KEYSTONE_DEPENDENCIES,ORDER_ID,N,1,NUMERIC,No,The unique identifier for the order record. The unique identifier for the order record.
KEYSTONE_DEPENDENCIES,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
KEYSTONE_DEPENDENCIES,KSTONE_DEPENDENCIES_ID,N,3,NUMERIC,No,The unique identifier of any orders that are considered a dependency of the order record for this row. Discontinuing the current order will prompt the user to consider discontinuing the other orders in this list. The unique identifier of any orders that are considered a dependency of the order record for this row. Discontinuing the current order will prompt the user to consider discontinuing the other orders in this list.
KIDMED_R1_SC,CLAIM_ID,N,1,NUMERIC,No,The unique identifier for the claim information record. The unique identifier for the claim information record.
KIDMED_R1_SC,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
KIDMED_R1_SC,KIDMED_R1_SC_C_NAME,N,3,VARCHAR,No,"Stores the suspected conditions for referral 1 in the claim information record.
May contain organization-specific values: Yes
Category Entries:
Medical
Vision
Hearing
Dental
Nutritional
Developmental
Abuse/Neglect
Psychological/Social
Speech/Language Stores the suspected conditions for referral 1 in the claim information record. May contain organization-specific values: Yes Category Entries: Medical Vision Hearing Dental Nutritional Developmental Abuse/Neglect Psychological/Social Speech/Language"
KIDMED_R2_SC,CLAIM_ID,N,1,NUMERIC,No,The unique identifier for the claim information record. The unique identifier for the claim information record.
KIDMED_R2_SC,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
KIDMED_R2_SC,KIDMED_R2_SC_C_NAME,N,3,VARCHAR,No,"Stores the suspected conditions for referral 2 in the claim information record.
May contain organization-specific values: Yes
Category Entries:
Medical
Vision
Hearing
Dental
Nutritional
Developmental
Abuse/Neglect
Psychological/Social
Speech/Language Stores the suspected conditions for referral 2 in the claim information record. May contain organization-specific values: Yes Category Entries: Medical Vision Hearing Dental Nutritional Developmental Abuse/Neglect Psychological/Social Speech/Language"
KIDMED_R3_SC,CLAIM_ID,N,1,NUMERIC,No,The unique identifier for the claim information record. The unique identifier for the claim information record.
KIDMED_R3_SC,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
KIDMED_R3_SC,KIDMED_R3_SC_C_NAME,N,3,VARCHAR,No,"Stores the suspected conditions for referral 3 in the claim information record.
May contain organization-specific values: Yes
Category Entries:
Medical
Vision
Hearing
Dental
Nutritional
Developmental
Abuse/Neglect
Psychological/Social
Speech/Language Stores the suspected conditions for referral 3 in the claim information record. May contain organization-specific values: Yes Category Entries: Medical Vision Hearing Dental Nutritional Developmental Abuse/Neglect Psychological/Social Speech/Language"
KIDMED_SC_UC,CLAIM_ID,N,1,NUMERIC,No,The unique identifier for the claim information record. The unique identifier for the claim information record.
KIDMED_SC_UC,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
KIDMED_SC_UC,KIDMED_SC_UC_C_NAME,N,3,VARCHAR,No,"This item stores whether there are suspected conditions for the visit that are under care.
May contain organization-specific values: Yes
Category Entries:
Medical
Vision
Hearing
Dental
Nutritional
Developmental
Abuse/Neglect
Psychological/Social
Speech/Language This item stores whether there are suspected conditions for the visit that are under care. May contain organization-specific values: Yes Category Entries: Medical Vision Hearing Dental Nutritional Developmental Abuse/Neglect Psychological/Social Speech/Language"
KIDNEY_BIOPSY,RESULT_ID,N,1,VARCHAR,No,The unique identifier for the result record. The unique identifier for the result record.
KIDNEY_BIOPSY,CAP_COMMENTS,N,2,VARCHAR,No,CAP synoptic form item: General comments. CAP synoptic form item: General comments.
KIDNEY_BIOPSY,SPEC_PROC_SPECIFY,N,3,VARCHAR,No,CAP synoptic form item: Specify the Specimen Procedure. CAP synoptic form item: Specify the Specimen Procedure.
KIDNEY_BIOPSY,HISTO_TYPE_SPECIFY,N,4,VARCHAR,No,CAP synoptic form item: Specify histologic type. CAP synoptic form item: Specify histologic type.
KIDNEY_BIOPSY,FUHRMAN_NUCLR_GRD_C_NAME,N,5,VARCHAR,No,"CAP synoptic form item: Histologic Grade (Fuhrman Nuclear Grade).
May contain organization-specific values: Yes
Category Entries:
Not applicable
GX: Cannot be assessed
G1: Nuclei round, uniform, approximately 10 µm; nucleoli inconspicuous or absent
G2: Nuclei slightly irregular, approximately 15 µm; nucleoli evident
G3: Nuclei very irregular, approximately 20 µm; nucleoli large and prominent
G4: Nuclei bizarre and multilobated, 20 µm or greater, nucleoli prominent, chromatin 
Other CAP synoptic form item: Histologic Grade (Fuhrman Nuclear Grade). May contain organization-specific values: Yes Category Entries: Not applicable GX: Cannot be assessed G1: Nuclei round, uniform, approximately 10 µm; nucleoli inconspicuous or absent G2: Nuclei slightly irregular, approximately 15 µm; nucleoli evident G3: Nuclei very irregular, approximately 20 µm; nucleoli large and prominent G4: Nuclei bizarre and multilobated, 20 µm or greater, nucleoli prominent, chromatin Other"
KIDNEY_BIOPSY,SARCOMATOID_FEAT_C_NAME,N,6,VARCHAR,No,"CAP synoptic form item: Sarcomatoid Features.
May contain organization-specific values: Yes
Category Entries:
Cannot be assessed
Not identified
Absent
Present
Indeterminate
Portal vein invasion present
Hepatic vein invasion present
Present within tumor nodules
Present in vessels of parenchyma outside of tumor nodules
Cannot be determined CAP synoptic form item: Sarcomatoid Features. May contain organization-specific values: Yes Category Entries: Cannot be assessed Not identified Absent Present Indeterminate Portal vein invasion present Hepatic vein invasion present Present within tumor nodules Present in vessels of parenchyma outside of tumor nodules Cannot be determined"
KIDNEY_BIOPSY,PERCN_SARCOMAT_ELEM,N,7,NUMERIC,No,CAP synoptic form item: Specify Percentage Sarcomatoid Element. CAP synoptic form item: Specify Percentage Sarcomatoid Element.
KIDNEY_BIOPSY,ADDL_PATH_FIND_SPFY,N,8,VARCHAR,No,CAP synoptic form item: Specify additional pathologic findings. CAP synoptic form item: Specify additional pathologic findings.
KIDNEY_RESECTION,RESULT_ID,N,1,VARCHAR,No,The unique identifier for the result record. The unique identifier for the result record.
KIDNEY_RESECTION,TUMOR_SITE_SPECIFY,N,2,VARCHAR,No,CAP synoptic form item: Specify tumor site. CAP synoptic form item: Specify tumor site.
KIDNEY_RESECTION,CAP_COMMENTS,N,3,VARCHAR,No,CAP synoptic form item: General comments. CAP synoptic form item: General comments.
KIDNEY_RESECTION,SPEC_PROC_SPECIFY,N,4,VARCHAR,No,CAP synoptic form item: Specify the Specimen Procedure. CAP synoptic form item: Specify the Specimen Procedure.
KIDNEY_RESECTION,TUMOR_SIZE_GREAT,N,5,NUMERIC,No,CAP synoptic form item: Tumor Greatest Size. CAP synoptic form item: Tumor Greatest Size.
KIDNEY_RESECTION,TUMOR_SIZE_ADDL,N,6,NUMERIC,No,CAP synoptic form item: Tumor Size (length). CAP synoptic form item: Tumor Size (length).
KIDNEY_RESECTION,TUMOR_SIZE_ADDL2,N,7,NUMERIC,No,CAP synoptic form item: Tumor Size (width). CAP synoptic form item: Tumor Size (width).
KIDNEY_RESECTION,ADDL_PATH_FIND_SPFY,N,8,VARCHAR,No,CAP synoptic form item: Specify additional pathologic findings. CAP synoptic form item: Specify additional pathologic findings.
KIDNEY_RESECTION,HIST_TYP_NONCL_SPFY,N,9,VARCHAR,No,CAP synoptic form item: Specify other or nonclassifiable histologic type. CAP synoptic form item: Specify other or nonclassifiable histologic type.
KIDNEY_RESECTION,TUMOR_SIZE_INDETER,N,10,VARCHAR,No,CAP synoptic form item: Specify Reason Why Tumor Size Is Indeterminate. CAP synoptic form item: Specify Reason Why Tumor Size Is Indeterminate.
KIDNEY_RESECTION,LYMPH_ND_NUM_XMD,N,11,NUMERIC,No,CAP synoptic form item: Specify the number of lymph nodes examined. CAP synoptic form item: Specify the number of lymph nodes examined.
KIDNEY_RESECTION,SPEC_SZ_KDN_DMSN1,N,12,NUMERIC,No,CAP synoptic form item: Specify kidney dimension 1 for specimen size. CAP synoptic form item: Specify kidney dimension 1 for specimen size.
KIDNEY_RESECTION,SPEC_SZ_KDN_DMSN2,N,13,NUMERIC,No,CAP synoptic form item: Specify kidney dimension 2 for specimen size. CAP synoptic form item: Specify kidney dimension 2 for specimen size.
KIDNEY_RESECTION,SPEC_SZ_KDN_DMSN3,N,14,NUMERIC,No,CAP synoptic form item: Specify kidney dimension 3 for specimen size. CAP synoptic form item: Specify kidney dimension 3 for specimen size.
KIDNEY_RESECTION,SPEC_SZ_WT,N,15,NUMERIC,No,CAP synoptic form item: Specify weight for specimen size. CAP synoptic form item: Specify weight for specimen size.
KIDNEY_RESECTION,TM_SZ_GRT_DMSN2,N,16,NUMERIC,No,CAP synoptic form item: Specify Greatest dimension tumor 2 for Tumor Size. CAP synoptic form item: Specify Greatest dimension tumor 2 for Tumor Size.
KIDNEY_RESECTION,TM_SZ_GRT_DMSN3,N,17,NUMERIC,No,CAP synoptic form item: Specify Greatest dimension tumor 3 for Tumor Size. CAP synoptic form item: Specify Greatest dimension tumor 3 for Tumor Size.
KIDNEY_RESECTION,TMR_SZ_ND_OTHER,N,18,VARCHAR,No,CAP synoptic form item: Specify details for other tumor size that cannot be determined. CAP synoptic form item: Specify details for other tumor size that cannot be determined.
KIDNEY_RESECTION,GEROTA_FASCIA_C_NAME,N,19,VARCHAR,No,"CAP synoptic form item: Gerotas Fascia.
May contain organization-specific values: Yes
Category Entries:
Gerota’s fascia intact
Gerota’s fascia disrupted
Indeterminate
Cannot be assessed CAP synoptic form item: Gerotas Fascia. May contain organization-specific values: Yes Category Entries: Gerota’s fascia intact Gerota’s fascia disrupted Indeterminate Cannot be assessed"
KIDNEY_RESECTION,RENAL_VEIN_C_NAME,N,20,VARCHAR,No,"CAP synoptic form item: Renal Vein.
May contain organization-specific values: Yes
Category Entries:
Renal vein invasion present
Renal vein invasion not identified
Indeterminate
Cannot be assessed CAP synoptic form item: Renal Vein. May contain organization-specific values: Yes Category Entries: Renal vein invasion present Renal vein invasion not identified Indeterminate Cannot be assessed"
KIDNEY_RESECTION,TM_XTN_AO_PRS_SPEC,N,21,VARCHAR,No,CAP synoptic form item: Specify organ when Tumor extension into adjacent organ present. CAP synoptic form item: Specify organ when Tumor extension into adjacent organ present.
KIDNEY_RESECTION,DSTC_TM_FRM_MRG_IVL,N,22,NUMERIC,No,CAP synoptic form item: Specify Distance of Tumor from Closest Margin when Margin involvement by tumor not identified. CAP synoptic form item: Specify Distance of Tumor from Closest Margin when Margin involvement by tumor not identified.
KIDNEY_RESECTION,MG_IVLV_NI_UNIT_C_NAME,N,23,VARCHAR,No,"CAP synoptic form item: Specify unit when Margin involvement by tumor not identified.
May contain organization-specific values: Yes
Category Entries:
mm
cm CAP synoptic form item: Specify unit when Margin involvement by tumor not identified. May contain organization-specific values: Yes Category Entries: mm cm"
KIDNEY_RESECTION,MG_IVLV_TM_NI_MS_C_NAME,N,24,VARCHAR,No,"CAP synoptic form item: Specify Margin when Margin involvement by tumor not identified.
May contain organization-specific values: Yes
Category Entries:
Gerota’s fascia
Renal vein
Inferior vena cava
Ureter
Other CAP synoptic form item: Specify Margin when Margin involvement by tumor not identified. May contain organization-specific values: Yes Category Entries: Gerota’s fascia Renal vein Inferior vena cava Ureter Other"
KIDNEY_RESECTION,MG_IVLV_TM_NI_OTHER,N,25,VARCHAR,No,CAP synoptic form item: Specify other details for Margin involvement by tumor not identified. CAP synoptic form item: Specify other details for Margin involvement by tumor not identified.
KIDNEY_RESECTION,MRG_IVLV_TM_OTHER,N,26,VARCHAR,No,CAP synoptic form item: Specify other details when Margin involved by tumor. CAP synoptic form item: Specify other details when Margin involved by tumor.
KIDNEY_RESECTION,NEPHROGENIC_RESTS_C_NAME,N,27,VARCHAR,No,"CAP synoptic form item: Nephrogenic Rests.
May contain organization-specific values: Yes
Category Entries:
Nephrogenic rests not identified
Nephrogenic rests present
Cannot be assessed CAP synoptic form item: Nephrogenic Rests. May contain organization-specific values: Yes Category Entries: Nephrogenic rests not identified Nephrogenic rests present Cannot be assessed"
KIDNEY_RESECTION,LYM_ND_NUM_IVLV,N,28,NUMERIC,No,CAP synoptic form item: Specify number of lymph nodes involved. CAP synoptic form item: Specify number of lymph nodes involved.
KIDNEY_RESECTION,DSTNC_MTSS_PRST_ST,N,29,VARCHAR,No,CAP synoptic form item: Specify Site for Distant metastasis present. CAP synoptic form item: Specify Site for Distant metastasis present.
KIDNEY_RESECTION,S5_BRID_RIGHT_KD_C_NAME,N,30,VARCHAR,No,"CAP synoptic form item: Stage V Bilateral renal involvement at diagnosis Specify Right Kidney Stage.
May contain organization-specific values: Yes
Category Entries:
Stage I
Stage II
Stage III
Stage IV CAP synoptic form item: Stage V Bilateral renal involvement at diagnosis Specify Right Kidney Stage. May contain organization-specific values: Yes Category Entries: Stage I Stage II Stage III Stage IV"
