table_name,column_name,primary_key,ordinal_position,type,discontinued,description
LAB_AP_MULT,REQUISITION_ID,N,1,NUMERIC,No,The unique identifier for the case record. The unique identifier for the case record.
LAB_AP_MULT,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
LAB_AP_MULT,AP_CASE_HOLD_C_NAME,N,3,VARCHAR,No,"The hold category number for the case hold.
May contain organization-specific values: Yes
No Entries Defined The hold category number for the case hold. May contain organization-specific values: Yes No Entries Defined"
LAB_CASE_DB_MAIN,CASE_ID,N,1,NUMERIC,No,The unique identifier for the case record. The unique identifier for the case record.
LAB_CASE_DB_MAIN,CASE_ACCESSION_DTTM,N,2,DATETIME (Local),No,"The instant that the case was accessioned. Currently, 'accessioned' means the time when the case is first accepted in Case Builder. The instant that the case was accessioned. Currently, 'accessioned' means the time when the case is first accepted in Case Builder."
LAB_CASE_DB_MAIN,CASE_RECEIVED_DTTM,N,3,DATETIME (Local),No,The instant that the case was received. This is equivalent to the instant when the first specimen on the case was received. The instant that the case was received. This is equivalent to the instant when the first specimen on the case was received.
LAB_CASE_DB_MAIN,CASE_OVERDUE_DTTM,N,4,DATETIME (Local),No,The instant when the case is considered overdue. This is equivalent to the Case Accession Instant plus the Case Expected Length. The instant when the case is considered overdue. This is equivalent to the Case Accession Instant plus the Case Expected Length.
LAB_CASE_DB_MAIN,CASE_GROUPER_ID,N,5,NUMERIC,No,Stores the Requisition Grouper record ID that this case is linked to. Stores the Requisition Grouper record ID that this case is linked to.
LAB_CASE_DB_MAIN,CASE_PAT_CONTACT,N,6,VARCHAR,No,Stores the patient contact that this case is linked to. Stores the patient contact that this case is linked to.
LAB_CASE_DB_MAIN,CASE_LAB_ID_LAB_NAME,N,7,VARCHAR,No,The name of the lab record. The name of the lab record.
LAB_CASE_DB_MAIN,DATE_ENTR_DT,N,8,DATETIME,No,Stores the date the case was created. Stores the date the case was created.
LAB_CASE_DB_MAIN,CASE_COLL_DTTM,N,9,DATETIME (Local),No,The date and time when the case was first collected. The date and time when the case was first collected.
LAB_CASE_DB_MAIN,CASE_SIGNOUT_DTTM,N,10,DATETIME (Local),No,The date and time when the case was completely signed out. The date and time when the case was completely signed out.
LAB_CASE_DB_MAIN,CONTAINER_ID,N,11,VARCHAR,No,The unique identifier of the tracking container associated with this case record. The unique identifier of the tracking container associated with this case record.
LAB_CASE_DB_MAIN,CASE_TASK_ADD_DTTM,N,12,DATETIME (Local),No,The latest date and time when a task was added to the case. The latest date and time when a task was added to the case.
LAB_CASE_DB_MAIN,INSTANT_PAT_ASSOC_UTC_DTTM,N,13,DATETIME (UTC),No,The date and time when the patient was associated with the case. The date and time when the patient was associated with the case.
LAB_CASE_DB_MAIN,CASE_SUBSPECIALTY_C_NAME,N,14,VARCHAR,No,"The subspecialty category identifier for the case.
May contain organization-specific values: Yes The subspecialty category identifier for the case. May contain organization-specific values: Yes"
