table_name,column_name,primary_key,ordinal_position,type,discontinued,description
MACRO_EXT_ADJ_SOFT,RESULT_ID,N,1,VARCHAR,No,The unique identifier for the result record. The unique identifier for the result record.
MACRO_EXT_ADJ_SOFT,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
MACRO_EXT_ADJ_SOFT,MACRO_EXT_ADJ_SFT_C_NAME,N,3,VARCHAR,No,"CAP synoptic form item: Macroscopic Extent Tumor extends into adjacent soft tissue.
May contain organization-specific values: Yes
Category Entries:
Diaphragm
Abdominal wall
Other CAP synoptic form item: Macroscopic Extent Tumor extends into adjacent soft tissue. May contain organization-specific values: Yes Category Entries: Diaphragm Abdominal wall Other"
MACRO_EXT_TUMOR,RESULT_ID,N,1,VARCHAR,No,The unique identifier for the result record. The unique identifier for the result record.
MACRO_EXT_TUMOR,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
MACRO_EXT_TUMOR,MACRO_EXT_TUMOR_C_NAME,N,3,VARCHAR,No,"CAP synoptic form item: Macroscopic Extent of Tumor at Operation.
May contain organization-specific values: Yes
Category Entries:
Tumor extends into adjacent organ(s)
Tumor extends into adjacent soft tissue
Intraoperative tumor spill
Tumor limited to kidney
Tumor extension into perinephric tissues
Tumor extension into renal sinus
Tumor extension beyond Gerota’s fascia
Tumor extension into major veins
Tumor extension into pelvicalyceal system
Tumor extension into adrenal gland
Superficial
Deep
Confined to the testis
Invades hilar soft tissues
Invades tunica vaginalis (perforates mesothelium)
Invades epididymis
Invades spermatic cord
Cannot be determined
Tumor extension into other organ(s) / structure(s) CAP synoptic form item: Macroscopic Extent of Tumor at Operation. May contain organization-specific values: Yes Category Entries: Tumor extends into adjacent organ(s) Tumor extends into adjacent soft tissue Intraoperative tumor spill Tumor limited to kidney Tumor extension into perinephric tissues Tumor extension into renal sinus Tumor extension beyond Gerota’s fascia Tumor extension into major veins Tumor extension into pelvicalyceal system Tumor extension into adrenal gland Superficial Deep Confined to the testis Invades hilar soft tissues Invades tunica vaginalis (perforates mesothelium) Invades epididymis Invades spermatic cord Cannot be determined Tumor extension into other organ(s) / structure(s)"
MACRO_TUMOR_DEEP,RESULT_ID,N,1,VARCHAR,No,The unique identifier for the result record. The unique identifier for the result record.
MACRO_TUMOR_DEEP,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
MACRO_TUMOR_DEEP,MACRO_TUMOR_DEEP_C_NAME,N,3,VARCHAR,No,"CAP synoptic form item: Macroscopic Extent of Tumor Deep.
May contain organization-specific values: Yes
Category Entries:
Fascial
Subfascial
Intramuscular
Mediastinal
Intra-abdominal
Retroperitoneal
Head and neck
Other CAP synoptic form item: Macroscopic Extent of Tumor Deep. May contain organization-specific values: Yes Category Entries: Fascial Subfascial Intramuscular Mediastinal Intra-abdominal Retroperitoneal Head and neck Other"
MACRO_TUMOR_SUPER,RESULT_ID,N,1,VARCHAR,No,The unique identifier for the result record. The unique identifier for the result record.
MACRO_TUMOR_SUPER,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
MACRO_TUMOR_SUPER,MACRO_TUMOR_SUPER_C_NAME,N,3,VARCHAR,No,"CAP synoptic form item: Macroscopic Extent of Tumor Superficial.
May contain organization-specific values: Yes
Category Entries:
Dermal
Subcutaneous / suprafascial CAP synoptic form item: Macroscopic Extent of Tumor Superficial. May contain organization-specific values: Yes Category Entries: Dermal Subcutaneous / suprafascial"
MAJOR_SALIV_GLANDS,RESULT_ID,N,1,VARCHAR,No,The unique identifier for the result record. The unique identifier for the result record.
MAJOR_SALIV_GLANDS,NEOADJUVANT_THRPY_C_NAME,N,2,VARCHAR,No,"CAP synoptic form item: Neoadjuvant Therapy.
May contain organization-specific values: Yes
Category Entries:
Yes
No
Indeterminate CAP synoptic form item: Neoadjuvant Therapy. May contain organization-specific values: Yes Category Entries: Yes No Indeterminate"
MAJOR_SALIV_GLANDS,NEOADJ_THRPY_TYPE,N,3,VARCHAR,No,CAP synoptic form item: Neoadjuvant Therapy Type. CAP synoptic form item: Neoadjuvant Therapy Type.
MAJOR_SALIV_GLANDS,OTHER_CLIN_FNDGS,N,4,VARCHAR,No,CAP synoptic form item: Other Clinical Findings. CAP synoptic form item: Other Clinical Findings.
MAJOR_SALIV_GLANDS,TUMOR_SITE_SPECIFY,N,5,VARCHAR,No,CAP synoptic form item: Specify tumor site. CAP synoptic form item: Specify tumor site.
MAJOR_SALIV_GLANDS,SPEC_RECEIVED_C_NAME,N,6,VARCHAR,No,"CAP synoptic form item: Specimen Received.
May contain organization-specific values: Yes
Category Entries:
Fresh
In formalin
Other CAP synoptic form item: Specimen Received. May contain organization-specific values: Yes Category Entries: Fresh In formalin Other"
MAJOR_SALIV_GLANDS,SPEC_RECV_SPECIFY,N,7,VARCHAR,No,CAP synoptic form item: Specify Other Specimens Received. CAP synoptic form item: Specify Other Specimens Received.
MAJOR_SALIV_GLANDS,CAP_COMMENTS,N,8,VARCHAR,No,CAP synoptic form item: General comments. CAP synoptic form item: General comments.
MAJOR_SALIV_GLANDS,SPEC_INTEGRITY_C_NAME,N,9,VARCHAR,No,"CAP synoptic form item: Specimen Integrity.
May contain organization-specific values: Yes
Category Entries:
Intact
Fragmented
Single intact specimen (margins can be evaluated)
Multiple designated specimens (e.g., main excision and identified margins)
Fragmented (margins cannot be evaluated with certainty)
Morcellated hysterectomy specimen
Intact hysterectomy specimen
Disrupted
Indeterminate
Other
Not specified CAP synoptic form item: Specimen Integrity. May contain organization-specific values: Yes Category Entries: Intact Fragmented Single intact specimen (margins can be evaluated) Multiple designated specimens (e.g., main excision and identified margins) Fragmented (margins cannot be evaluated with certainty) Morcellated hysterectomy specimen Intact hysterectomy specimen Disrupted Indeterminate Other Not specified"
MAJOR_SALIV_GLANDS,SIZE_LARGST_POS_LYM,N,10,NUMERIC,No,"CAP synoptic form item: Size (greatest dimension, in cm) of the Largest Positive Lymph Node. CAP synoptic form item: Size (greatest dimension, in cm) of the Largest Positive Lymph Node."
MAJOR_SALIV_GLANDS,SPEC_PROC_SPECIFY,N,11,VARCHAR,No,CAP synoptic form item: Specify the Specimen Procedure. CAP synoptic form item: Specify the Specimen Procedure.
MAJOR_SALIV_GLANDS,SPEC_SIZE_GREATEST,N,12,NUMERIC,No,CAP synoptic form item: Specimen Greatest Size. CAP synoptic form item: Specimen Greatest Size.
