table_name,column_name,primary_key,ordinal_position,type,discontinued,description
NAMES,RECORD_ID,N,1,VARCHAR,No,The is the internal ID of the record The is the internal ID of the record
NAMES,RECORD_NAME,N,2,VARCHAR,No,This is the name of the record This is the name of the record
NAMES,LAST_NAME,N,3,VARCHAR,No,Stores the person's last name. Stores the person's last name.
NAMES,LAST_NAME_SPOUSE,N,4,VARCHAR,No,Stores the part of the person's last name from their spouse. Stores the part of the person's last name from their spouse.
NAMES,FIRST_NAME,N,5,VARCHAR,No,Stores the person's first name. Stores the person's first name.
NAMES,MIDDLE_NAME,N,6,VARCHAR,No,Stores the person's middle name. Stores the person's middle name.
NAMES,LAST_NAME_PREFIX,N,7,VARCHAR,No,Stores the person's last name prefix. Stores the person's last name prefix.
NAMES,PREFERRED_NAME,N,8,VARCHAR,No,Stores the name the person prefers to be called. Stores the name the person prefers to be called.
NAMES,GIVEN_NAME_INITIALS,N,9,VARCHAR,No,The initials for the person's given names. The initials for the person's given names.
NAMES,FATHER_NAME,N,10,VARCHAR,No,Stores the person's father's name. Stores the person's father's name.
NAMES,GRANDFATHER_NAME,N,11,VARCHAR,No,Stores the person's grandfather's name. Stores the person's grandfather's name.
NAMES_STATIC,RECORD_ID_RECORD_NAME,N,1,VARCHAR,No,Internationally formatted non-patient name of the person. Internationally formatted non-patient name of the person.
NAMES_STATIC,RECORD_NAME,N,2,VARCHAR,No,Internationally formatted non-patient name of the person. Internationally formatted non-patient name of the person.
NAMES_STATIC,LAST_NAME,N,3,VARCHAR,No,Stores the person's last name. Stores the person's last name.
NAMES_STATIC,LAST_NAME_SPOUSE,N,4,VARCHAR,No,Stores the part of the person's last name from their spouse. Stores the part of the person's last name from their spouse.
NAMES_STATIC,FIRST_NAME,N,5,VARCHAR,No,Stores the person's first name. Stores the person's first name.
NAMES_STATIC,MIDDLE_NAME,N,6,VARCHAR,No,Stores the person's middle name. Stores the person's middle name.
NAMES_STATIC,LAST_NAME_PREFIX,N,7,VARCHAR,No,Stores the person's last name prefix. Stores the person's last name prefix.
NAMES_STATIC,PREFERRED_NAME,N,8,VARCHAR,No,Stores the name the person prefers to be called. Stores the name the person prefers to be called.
NAMES_STATIC,GIVEN_NAME_INITIALS,N,9,VARCHAR,No,Stores the initials for the person's given name. Stores the initials for the person's given name.
NARR_STAFF_LIST,PAT_ENC_CSN_ID,N,1,NUMERIC,No,"The unique contact serial number for this contact. This number is unique across all patient encounters in your system. If you use IntraConnect, this is the Unique Contact Identifier (UCI). The unique contact serial number for this contact. This number is unique across all patient encounters in your system. If you use IntraConnect, this is the Unique Contact Identifier (UCI)."
NARR_STAFF_LIST,LINE,N,2,INTEGER,No,The line number for the information associated with this contact. Multiple pieces of information can be associated with this contact. The line number for the information associated with this contact. Multiple pieces of information can be associated with this contact.
NARR_STAFF_LIST,PAT_ENC_DATE_REAL,N,3,FLOAT,No,"A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc. A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc."
NARR_STAFF_LIST,CONTACT_DATE,N,4,DATETIME,No,The date of this contact in calendar format. The date of this contact in calendar format.
NARR_STAFF_LIST,NARR_STAFF_PROV_ID_PROV_NAME,N,5,VARCHAR,No,The name of the service provider. This item may be hidden in a public view of the CLARITY_SER table. The name of the service provider. This item may be hidden in a public view of the CLARITY_SER table.
NARR_STAFF_LIST,NARR_STAFF_UNK_ID,N,6,VARCHAR,No,Stores the unique ID that is given to an unknown provider involved with an intervention until it is linked to an existing provider record. Stores the unique ID that is given to an unknown provider involved with an intervention until it is linked to an existing provider record.
NARR_STAFF_LIST,NARR_STAFF_ROLE_C_NAME,N,7,VARCHAR,No,"Stores the provider capacity (e.g. attending, resident, etc.) during this intervention.
May contain organization-specific values: Yes Stores the provider capacity (e.g. attending, resident, etc.) during this intervention. May contain organization-specific values: Yes"
NARR_STAFF_LIST,NARR_STAFF_EVENT_C_NAME,N,8,VARCHAR,No,"Indicates which type of event has been filed, for example whether a staff member has arrived or departed.
May contain organization-specific values: Yes
Category Entries:
Paged
Responded
Arrived
Departed
Deleted Indicates which type of event has been filed, for example whether a staff member has arrived or departed. May contain organization-specific values: Yes Category Entries: Paged Responded Arrived Departed Deleted"
NARR_STAFF_LIST,NARR_STAFF_INST_TM,N,9,DATETIME (Local),No,The instant at which the staff event is filed. The instant at which the staff event is filed.
NARR_STAFF_LIST,NARR_STAFF_COMMENT,N,10,VARCHAR,No,The user-entered comment for a staff related event (i.e. marking a provider as paged or arrived). The user-entered comment for a staff related event (i.e. marking a provider as paged or arrived).
NARR_STAFF_LIST,NARR_STAFF_LINKTO,N,11,NUMERIC,No,"Stores the line ID of a different event, if this event was modified or deleted by it. Stores the line ID of a different event, if this event was modified or deleted by it."
NARR_STAFF_LIST,NARR_STF_MODINST_TM,N,12,DATETIME (Local),No,"Stores the instant of an event's modification or deletion, if applicable. Stores the instant of an event's modification or deletion, if applicable."
NARR_STAFF_LIST,NARR_STAFF_DOCU_ID,N,13,VARCHAR,No,The unique ID of the user who documented this event. The unique ID of the user who documented this event.
NARR_STAFF_LIST,NARR_STAFF_DOCU_ID_NAME,N,14,VARCHAR,No,The name of the user record. This name may be hidden. The name of the user record. This name may be hidden.
