table_name,column_name,primary_key,ordinal_position,type,discontinued,description
OBGYN_STAT,PAT_ID,N,1,VARCHAR,No,The unique ID of the patient record for this row. This column is frequently used to link to the PATIENT table. The unique ID of the patient record for this row. This column is frequently used to link to the PATIENT table.
OBGYN_STAT,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
OBGYN_STAT,OBGYN_STAT_C_NAME,N,3,VARCHAR,No,"This value is the OB/Gyn status for a patient which indicates if a patient is pregnant or not, as well as other menstrual statuses like hysterectomy, or having periods.
May contain organization-specific values: Yes
Category Entries:
Premenarcheal
Postmenopausal
Hysterectomy
Pregnant
Having periods
Injection
Implant
Ablation
Needs review
Premenopausal
Recent pregnancy
Unknown
Perimenopausal
Born without uterus This value is the OB/Gyn status for a patient which indicates if a patient is pregnant or not, as well as other menstrual statuses like hysterectomy, or having periods. May contain organization-specific values: Yes Category Entries: Premenarcheal Postmenopausal Hysterectomy Pregnant Having periods Injection Implant Ablation Needs review Premenopausal Recent pregnancy Unknown Perimenopausal Born without uterus"
OBGYN_STAT,APP_INST_UTC_DTTM,N,4,DATETIME (UTC),No,This instant stores the date the OB/GYN status applies to. It is generated when the OB/GYN status is saved. This instant stores the date the OB/GYN status applies to. It is generated when the OB/GYN status is saved.
OBGYN_STAT,UPDATE_USR_ID,N,5,VARCHAR,No,This stores the ID of the user who updated a patient's OB/GYN status. This stores the ID of the user who updated a patient's OB/GYN status.
OBGYN_STAT,UPDATE_USR_ID_NAME,N,6,VARCHAR,No,The name of the user record. This name may be hidden. The name of the user record. This name may be hidden.
OBSERVATION_METHOD_ID,ORDER_ID,N,1,NUMERIC,No,The unique identifier for the order record. The unique identifier for the order record.
OBSERVATION_METHOD_ID,CONTACT_DATE_REAL,N,2,FLOAT,No,"A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc. A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc."
OBSERVATION_METHOD_ID,GROUP_LINE,N,3,INTEGER,No,The line number for the information associated with this contact. The line number for the information associated with this contact.
OBSERVATION_METHOD_ID,VALUE_LINE,N,4,INTEGER,No,The line number of one of the multiple values associated with a specific group of data within this contact. The line number of one of the multiple values associated with a specific group of data within this contact.
