table_name,column_name,primary_key,ordinal_position,type,discontinued,description
PACEMAKER_DEPEND,IMPLANT_ID,N,1,VARCHAR,No,The unique identifier for the implant record. The unique identifier for the implant record.
PACEMAKER_DEPEND,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
PACEMAKER_DEPEND,PACEMAKER_DEP_C_NAME,N,3,VARCHAR,No,"This item stores whether a patient is pacemaker dependent or not.
May contain organization-specific values: Yes
Category Entries:
Yes
No
N/A This item stores whether a patient is pacemaker dependent or not. May contain organization-specific values: Yes Category Entries: Yes No N/A"
PACE_PREV_REAS,IMPLANT_ID,N,1,VARCHAR,No,The unique identifier for the implant record. The unique identifier for the implant record.
PACE_PREV_REAS,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
PACE_PREV_REAS,PACE_PREV_DIAG_ID_DX_NAME,N,3,VARCHAR,No,The name of the diagnosis. The name of the diagnosis.
PAGE_DETAILS,MSG_ID,N,1,VARCHAR,No,The unique identifier (.1 item) for the In Basket message record. The unique identifier (.1 item) for the In Basket message record.
PAGE_DETAILS,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
PAGE_DETAILS,PAGE_DETAILS_TEXT,N,3,VARCHAR,No,Details/message for the page that was sent. (Note that we only store the message of outstanding pages in this column. New page messages are stored in the NOTES column of the IB_NOTES table). Details/message for the page that was sent. (Note that we only store the message of outstanding pages in this column. New page messages are stored in the NOTES column of the IB_NOTES table).
PANCREAS_ENDOCRINE,RESULT_ID,N,1,VARCHAR,No,The unique identifier for the result record. The unique identifier for the result record.
PANCREAS_ENDOCRINE,TUMOR_SITE_SPECIFY,N,2,VARCHAR,No,CAP synoptic form item: Specify tumor site. CAP synoptic form item: Specify tumor site.
PANCREAS_ENDOCRINE,CAP_COMMENTS,N,3,VARCHAR,No,CAP synoptic form item: General comments. CAP synoptic form item: General comments.
PANCREAS_ENDOCRINE,SPEC_PROC_SPECIFY,N,4,VARCHAR,No,CAP synoptic form item: Specify the Specimen Procedure. CAP synoptic form item: Specify the Specimen Procedure.
PANCREAS_ENDOCRINE,HISTO_TYPE_SPECIFY,N,5,VARCHAR,No,CAP synoptic form item: Specify histologic type. CAP synoptic form item: Specify histologic type.
PANCREAS_ENDOCRINE,MRG_CANNOT_ASSES_YN,N,6,VARCHAR,No,"CAP synoptic form item: Margins Cannot Be Assessed.
May contain organization-specific values: No
Category Entries:
No
Yes CAP synoptic form item: Margins Cannot Be Assessed. May contain organization-specific values: No Category Entries: No Yes"
PANCREAS_ENDOCRINE,SPECIFIC_MARGINS,N,7,VARCHAR,No,CAP synoptic form item: Specific Margins. CAP synoptic form item: Specific Margins.
PANCREAS_ENDOCRINE,PERINEURAL_INVASN_C_NAME,N,8,VARCHAR,No,"CAP synoptic form item: Perineural Invasion.
May contain organization-specific values: Yes
Category Entries:
Cannot be assessed
Not identified
Absent
Present
Indeterminate
Portal vein invasion present
Hepatic vein invasion present
Present within tumor nodules
Present in vessels of parenchyma outside of tumor nodules
Cannot be determined CAP synoptic form item: Perineural Invasion. May contain organization-specific values: Yes Category Entries: Cannot be assessed Not identified Absent Present Indeterminate Portal vein invasion present Hepatic vein invasion present Present within tumor nodules Present in vessels of parenchyma outside of tumor nodules Cannot be determined"
PANCREAS_ENDOCRINE,SPECIMEN_OTHER_SPFY,N,9,VARCHAR,No,CAP synoptic form item: Specify other specimen. CAP synoptic form item: Specify other specimen.
