table_name,column_name,primary_key,ordinal_position,type,discontinued,description
RADIOLOG_FINDINGS,RESULT_ID,N,1,VARCHAR,No,The unique identifier for the result record. The unique identifier for the result record.
RADIOLOG_FINDINGS,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
RADIOLOG_FINDINGS,RADIOLOG_FINDINGS_C_NAME,N,3,VARCHAR,No,"CAP synoptic form item: Radiologic Findings.
May contain organization-specific values: Yes
Category Entries:
Mass or architectural distortion
Calcifications
Other CAP synoptic form item: Radiologic Findings. May contain organization-specific values: Yes Category Entries: Mass or architectural distortion Calcifications Other"
RADIOTHERAPY_AUDIT_TRAIL,RT_SUMMARY_ID,N,1,NUMERIC,No,The unique identifier (.1 item) for the radiotherapy summary record. The unique identifier (.1 item) for the radiotherapy summary record.
RADIOTHERAPY_AUDIT_TRAIL,CONTACT_DATE_REAL,N,2,FLOAT,No,"A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc. A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc."
RADIOTHERAPY_AUDIT_TRAIL,LINE,N,3,INTEGER,No,The line number for the information associated with this contact. Multiple pieces of information can be associated with this contact. The line number for the information associated with this contact. Multiple pieces of information can be associated with this contact.
RADIOTHERAPY_AUDIT_TRAIL,CONTACT_OLD_VERSION_NUMBER,N,4,INTEGER,No,Stores the FHIR version ID the old value was associated with. Stores the FHIR version ID the old value was associated with.
RADIOTHERAPY_AUDIT_TRAIL,ITEM_NUMBER,N,5,INTEGER,No,Stores the changed item number for an audit trail entry. Stores the changed item number for an audit trail entry.
RADIOTHERAPY_AUDIT_TRAIL,INSTANT_UTC_DTTM,N,6,DATETIME (UTC),No,Stores the instant the change being audited was applied to the contact. Stores the instant the change being audited was applied to the contact.
RADIOTHERAPY_AUDIT_TRAIL,ITEM_LINE,N,7,INTEGER,No,Stores the line number of the old value in the associated item. Stores the line number of the old value in the associated item.
RADIOTHERAPY_AUDIT_TRAIL,ITEM_PIECE,N,8,INTEGER,No,"For related-multi items, stores the piece number of the old value in the associated item on the associated line. For related-multi items, stores the piece number of the old value in the associated item on the associated line."
RADIOTHERAPY_AUDIT_TRAIL,OLD_VALUE,N,9,VARCHAR,No,Stores the old value for the associated item on the associated line and piece number. Stores the old value for the associated item on the associated line and piece number.
RADIOTHERAPY_AUDIT_TRAIL,NEW_VALUE,N,10,VARCHAR,No,This item contains the new value of the item stored in related item 5001 when the value changes. This item contains the new value of the item stored in related item 5001 when the value changes.
RADIOTHERAPY_CHILD_PHASES,RT_SUMMARY_ID,N,1,NUMERIC,No,The unique identifier (.1 item) for the radiotherapy summary record. The unique identifier (.1 item) for the radiotherapy summary record.
RADIOTHERAPY_CHILD_PHASES,CONTACT_DATE_REAL,N,2,FLOAT,No,"A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc. A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc."
RADIOTHERAPY_CHILD_PHASES,LINE,N,3,INTEGER,No,The line number for the information associated with this contact. Multiple pieces of information can be associated with this contact. The line number for the information associated with this contact. Multiple pieces of information can be associated with this contact.
RADIOTHERAPY_CHILD_PHASES,PHASE_ERT_SUMMARY_CSN_ID,N,4,NUMERIC,No,A list of all the phases that are a part of an ERT record with a type of 1-Course. A list of all the phases that are a part of an ERT record with a type of 1-Course.
RADIOTHERAPY_CHILD_PLANS,RT_SUMMARY_ID,N,1,NUMERIC,No,The unique identifier (.1 item) for the radiotherapy summary record. The unique identifier (.1 item) for the radiotherapy summary record.
RADIOTHERAPY_CHILD_PLANS,CONTACT_DATE_REAL,N,2,FLOAT,No,"A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc. A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc."
RADIOTHERAPY_CHILD_PLANS,LINE,N,3,INTEGER,No,The line number for the information associated with this contact. Multiple pieces of information can be associated with this contact. The line number for the information associated with this contact. Multiple pieces of information can be associated with this contact.
RADIOTHERAPY_CHILD_PLANS,PLAN_ERT_SUMMARY_CSN_ID,N,4,NUMERIC,No,A list of all the plans that are a part of an ERT record with a type of 2-Phase. A list of all the plans that are a part of an ERT record with a type of 2-Phase.
RADIOTHERAPY_CONTACT_INFO,RT_SUMMARY_ID,N,1,NUMERIC,No,The unique identifier (.1 item) for the radiotherapy summary record. The unique identifier (.1 item) for the radiotherapy summary record.
RADIOTHERAPY_CONTACT_INFO,CONTACT_DATE_REAL,N,2,FLOAT,No,"A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc. A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc."
RADIOTHERAPY_CONTACT_INFO,CONTACT_DATE,N,3,DATETIME,No,The date of this contact in calendar format. The date of this contact in calendar format.
RADIOTHERAPY_CONTACT_INFO,ERT_SUMMARY_CSN_ID,N,4,NUMERIC,No,The contact serial number (CSN) of the contact. The contact serial number (CSN) of the contact.
RADIOTHERAPY_CONTACT_INFO,CONTACT_NUM,N,5,INTEGER,No,Stores contact number Stores contact number
RADIOTHERAPY_CONTACT_INFO,NAME_HX,N,6,VARCHAR,No,Stores the history of the record name Stores the history of the record name
RADIOTHERAPY_CONTACT_INFO,CM_CT_OWNER_ID,N,7,VARCHAR,No,The Community ID (CID) of the instance that owns this contact. This is only populated if you use IntraConnect. The Community ID (CID) of the instance that owns this contact. This is only populated if you use IntraConnect.
RADIOTHERAPY_CONTACT_INFO,RADIOTHERAPY_MODE_C_NAME,N,8,VARCHAR,No,"Contains the mode of the contact, indicating if the contact represents the prescription, plan, or treatment summary.
May contain organization-specific values: No
Category Entries:
Prescribed
Planned
Treated Contains the mode of the contact, indicating if the contact represents the prescription, plan, or treatment summary. May contain organization-specific values: No Category Entries: Prescribed Planned Treated"
RADIOTHERAPY_CONTACT_INFO,PARENT_RT_SUMMARY_ID,N,9,NUMERIC,No,"Contains the parent record for the summary. For a phase, the parent ID will be a course. For a plan, the parent ID will be a phase. Contains the parent record for the summary. For a phase, the parent ID will be a course. For a plan, the parent ID will be a phase."
RADIOTHERAPY_CONTACT_INFO,PARENT_RT_SUMMARY_DAT,N,10,NUMERIC,No,Contains the DAT of the parent ID at the time this record was created. Contains the DAT of the parent ID at the time this record was created.
