table_name,column_name,primary_key,ordinal_position,type,discontinued,description
SAR_INFO,REFERRAL_ID,N,1,NUMERIC,No,The referral ID for the referral record. The referral ID for the referral record.
SAR_INFO,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
SAR_INFO,SAR_CVG_ID,N,3,NUMERIC,No,The coverage ID for the Service Authorization Request (SAR) adjudication information. The coverage ID for the Service Authorization Request (SAR) adjudication information.
SAR_INFO,SAR_NUM,N,4,VARCHAR,No,The Service Authorization Request (SAR) number for the Service Authorization Request (SAR) adjudication information. The Service Authorization Request (SAR) number for the Service Authorization Request (SAR) adjudication information.
SAR_INFO,CCS_CASE_NUM,N,5,VARCHAR,No,The California Children's Services (CCS) case number for the Service Authorization Request (SAR) adjudication information. The California Children's Services (CCS) case number for the Service Authorization Request (SAR) adjudication information.
SAR_INFO,SAR_COMMENTS,N,6,VARCHAR,No,The free text comments for the Service Authorization Request (SAR) adjudication information. The free text comments for the Service Authorization Request (SAR) adjudication information.
SAR_INFO,CCS_COUNTY_C_NAME,N,7,VARCHAR,No,"The county for the Service Authorization Request (SAR) adjudication information.
May contain organization-specific values: Yes
Category Entries:
Alameda
Alpine
Amador
Butte
Calaveras
Contra Costa
Colusa
Del Norte
El Dorado
Fresno
Glenn
Humboldt
Imperial
Inyo
Kern
Kings
Los Angeles
Lake
Lassen
Madera
Mendocino
Merced
Mono
Modoc
Monterey
Mariposa
Marin
Napa
Nevada
Orange
Placer
Plumas
Riverside
Sacramento
Santa Barbara
San Bernardino
San Benito
Santa Clara
Santa Cruz
San Diego
San Francisco
Shasta
Sierra
Siskiyou
San Joaquin
San Luis Obispo
San Mateo
Solano
Sonoma
Stanislaus
Sutter
Tehama
Trinity
Tulare
Tuolumne
Ventura
Yolo
Yuba The county for the Service Authorization Request (SAR) adjudication information. May contain organization-specific values: Yes Category Entries: Alameda Alpine Amador Butte Calaveras Contra Costa Colusa Del Norte El Dorado Fresno Glenn Humboldt Imperial Inyo Kern Kings Los Angeles Lake Lassen Madera Mendocino Merced Mono Modoc Monterey Mariposa Marin Napa Nevada Orange Placer Plumas Riverside Sacramento Santa Barbara San Bernardino San Benito Santa Clara Santa Cruz San Diego San Francisco Shasta Sierra Siskiyou San Joaquin San Luis Obispo San Mateo Solano Sonoma Stanislaus Sutter Tehama Trinity Tulare Tuolumne Ventura Yolo Yuba"
SAR_INFO,SAR_PROV_GRP_NUM,N,8,VARCHAR,No,The provider group number for the Service Authorization Request (SAR) adjudication information. The provider group number for the Service Authorization Request (SAR) adjudication information.
SAR_INFO,SAR_PROV_NUM,N,9,VARCHAR,No,The provider number (NPI) for the Service Authorization Request (SAR) adjudication information. The provider number (NPI) for the Service Authorization Request (SAR) adjudication information.
SAR_INFO,SAR_PROV_ID_PROV_NAME,N,10,VARCHAR,No,The name of the service provider. This item may be hidden in a public view of the CLARITY_SER table. The name of the service provider. This item may be hidden in a public view of the CLARITY_SER table.
SAR_INFO,SAR_PROV_DEPT_ID_EXTERNAL_NAME,N,11,VARCHAR,No,The external name of the department record. This is often used in patient correspondence such as reminder letters. The external name of the department record. This is often used in patient correspondence such as reminder letters.
SAR_INFO,SAR_PROV_FAC_NUM,N,12,VARCHAR,No,The facility number for the Service Authorization Request (SAR) adjudication information. The facility number for the Service Authorization Request (SAR) adjudication information.
SAR_INFO,SAR_REF_PROV_ID_PROV_NAME,N,13,VARCHAR,No,The name of the service provider. This item may be hidden in a public view of the CLARITY_SER table. The name of the service provider. This item may be hidden in a public view of the CLARITY_SER table.
SAR_INFO_DX,REFERRAL_ID,N,1,NUMERIC,No,The referral ID for the referral record. The referral ID for the referral record.
SAR_INFO_DX,GROUP_LINE,N,2,INTEGER,No,The line number for the information associated with this record. The line number for the information associated with this record.
SAR_INFO_DX,VALUE_LINE,N,3,INTEGER,No,The line number of one of the multiple values associated with a specific group of data within this record. The line number of one of the multiple values associated with a specific group of data within this record.
SAR_INFO_DX,CCS_DX_ID_DX_NAME,N,4,VARCHAR,No,The name of the diagnosis. The name of the diagnosis.
SAR_SVC_CODE,REFERRAL_ID,N,1,NUMERIC,No,The referral ID for the referral record. The referral ID for the referral record.
