table_name,column_name,primary_key,ordinal_position,type,discontinued,description
TAPER_TRIMMING_DECISION,ORDER_ID,N,1,NUMERIC,No,The unique identifier (.1 item) for the order record. The unique identifier (.1 item) for the order record.
TAPER_TRIMMING_DECISION,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
TAPER_TRIMMING_DECISION,LINE_DURATION_NUM,N,3,INTEGER,No,The durations selected during taper trimming The durations selected during taper trimming
TARGET_TASK_ASMTS,ACTIVITY_ID,N,1,VARCHAR,No,The unique identifier (.1 item) for the task record. The unique identifier (.1 item) for the task record.
TARGET_TASK_ASMTS,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
TARGET_TASK_ASMTS,TARGET_PAT_ENC_CSN_ID,N,3,NUMERIC,No,This item stores the patient CSNs of the target assessments. This item stores the patient CSNs of the target assessments.
TARGET_TASK_ASMTS,TARGET_OVERALL_ASMT_C_NAME,N,4,VARCHAR,No,"This item stores the overall assessments of the target assessments.
May contain organization-specific values: No
Category Entries:
On Track
Off Track
Unable to Assess This item stores the overall assessments of the target assessments. May contain organization-specific values: No Category Entries: On Track Off Track Unable to Assess"
TARGET_TASK_ASMTS,TARGET_PROG_ASMT_C_NAME,N,5,VARCHAR,No,"This item stores the progression assessments of the target assessments.
May contain organization-specific values: No
Category Entries:
Improving
Worsening
Unchanging
Not Applicable This item stores the progression assessments of the target assessments. May contain organization-specific values: No Category Entries: Improving Worsening Unchanging Not Applicable"
TARGET_TASK_ASMTS,TARGET_ASSESSED_INST_UTC_DTTM,N,6,DATETIME (UTC),No,This item stores the instants that the user most recently assessed the target over different encounters. This item stores the instants that the user most recently assessed the target over different encounters.
TARGET_TASK_ASMTS,TARGET_ASSESSED_USER_ID,N,7,VARCHAR,No,This item stores the users that most recently assessed the target over different encounters. This item stores the users that most recently assessed the target over different encounters.
TARGET_TASK_ASMTS,TARGET_ASSESSED_USER_ID_NAME,N,8,VARCHAR,No,The name of the user record. This name may be hidden. The name of the user record. This name may be hidden.
TAR_INFO,REFERRAL_ID,N,1,NUMERIC,No,The referral ID for the referral record. The referral ID for the referral record.
TAR_INFO,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
TAR_INFO,TAR_CVG_ID,N,3,NUMERIC,No,The coverage associated with the line of Treatment Authorization Request (TAR) adjudication information. The coverage associated with the line of Treatment Authorization Request (TAR) adjudication information.
TAR_INFO,TAR_NUM,N,4,VARCHAR,No,The Treatment Authorization Request (TAR) control number for the Treatment Authorization Request (TAR) adjudication information. The Treatment Authorization Request (TAR) control number for the Treatment Authorization Request (TAR) adjudication information.
TAR_INFO,TAR_PROV_NUM,N,5,VARCHAR,No,The Treatment Authorization Request (TAR) provider number (NPI) for the Treatment Authorization Request (TAR) adjudication information. The Treatment Authorization Request (TAR) provider number (NPI) for the Treatment Authorization Request (TAR) adjudication information.
TAR_INFO,TAR_PROV_ID_PROV_NAME,N,6,VARCHAR,No,The name of the service provider. This item may be hidden in a public view of the CLARITY_SER table. The name of the service provider. This item may be hidden in a public view of the CLARITY_SER table.
TAR_INFO,TAR_TAX_ID_NUM,N,7,VARCHAR,No,The tax ID number for the Treatment Authorization Request (TAR) adjudication information. The tax ID number for the Treatment Authorization Request (TAR) adjudication information.
TAR_INFO,TAR_COMMENTS,N,8,VARCHAR,No,The comments for the Treatment Authorization Request (TAR) adjudication info. The comments for the Treatment Authorization Request (TAR) adjudication info.
TAR_SVC_LN_INFO,REFERRAL_ID,N,1,NUMERIC,No,The referral ID for the referral record. The referral ID for the referral record.
TAR_SVC_LN_INFO,LINE,N,2,INTEGER,No,The line number for the information associated with this record. Multiple pieces of information can be associated with this record. The line number for the information associated with this record. Multiple pieces of information can be associated with this record.
TAR_SVC_LN_INFO,TAR_SERVICE_CODE,N,3,VARCHAR,No,The service code for the line of Treatment Authorization Request (TAR) adjudication info. The service code for the line of Treatment Authorization Request (TAR) adjudication info.
TAR_SVC_LN_INFO,TAR_MODIFIER,N,4,VARCHAR,No,The modifier for the line of Treatment Authorization Request (TAR) adjudication info. The modifier for the line of Treatment Authorization Request (TAR) adjudication info.
TAR_SVC_LN_INFO,TAR_VALID_FROM_DATE,N,5,DATETIME,No,The start date for the line of Treatment Authorization Request (TAR) adjudication info. The start date for the line of Treatment Authorization Request (TAR) adjudication info.
TAR_SVC_LN_INFO,TAR_VALID_TO_DATE,N,6,DATETIME,No,The expiration date for the line of Treatment Authorization Request (TAR) adjudication info. The expiration date for the line of Treatment Authorization Request (TAR) adjudication info.
TAR_SVC_LN_INFO,TAR_UNITS,N,7,INTEGER,No,The number of units for the line of Treatment Authorization Request (TAR) adjudication info. The number of units for the line of Treatment Authorization Request (TAR) adjudication info.
TAR_SVC_LN_INFO,TAR_STATUS_C_NAME,N,8,VARCHAR,No,"The status for the line of Treatment Authorization Request (TAR) adjudication info.
May contain organization-specific values: Yes The status for the line of Treatment Authorization Request (TAR) adjudication info. May contain organization-specific values: Yes"
TAR_SVC_LN_INFO,TAR_DESC,N,9,VARCHAR,No,The free text description for the line of Treatment Authorization Request (TAR) adjudication info. The free text description for the line of Treatment Authorization Request (TAR) adjudication info.
TAR_SVC_LN_INFO,TAR_RSN,N,10,VARCHAR,No,The free text reason for the line of Treatment Authorization Request (TAR) adjudication info. The free text reason for the line of Treatment Authorization Request (TAR) adjudication info.
TAR_SVC_LN_INFO,TAR_SVC_LN_CVG_ID,N,11,NUMERIC,No,The coverage associated with the line of Treatment Authorization Request (TAR) adjudication information. The coverage associated with the line of Treatment Authorization Request (TAR) adjudication information.
TAR_SVC_LN_INFO,TAR_SVC_LN_CTL_NUM,N,12,VARCHAR,No,"The service line Treatment Authorization Request (TAR) control number. If this value exists, it should be used as a control number for this service line. If there is no value, the header level control number (TAR_CTL_NUM in table TAR_INFO) should be used. The service line Treatment Authorization Request (TAR) control number. If this value exists, it should be used as a control number for this service line. If there is no value, the header level control number (TAR_CTL_NUM in table TAR_INFO) should be used."
TASKS,PAT_ENC_CSN_ID,N,1,NUMERIC,No,"The unique contact serial number for this contact. This number is unique across all patient encounters in your system. If you use IntraConnect, this is the Unique Contact Identifier (UCI). The unique contact serial number for this contact. This number is unique across all patient encounters in your system. If you use IntraConnect, this is the Unique Contact Identifier (UCI)."
TASKS,LINE,N,2,INTEGER,No,The line number for the information associated with this contact. Multiple pieces of information can be associated with this contact. The line number for the information associated with this contact. Multiple pieces of information can be associated with this contact.
TASKS,PAT_ENC_DATE_REAL,N,3,FLOAT,No,"A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc. A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc."
