Table_Name,Column_Count,Status,Error,Processing_Time
ABN_DOCUMENT_ID,5,Success,,1.547306
ABN_FOLLOW_UP,9,Success,,1.838229
ABN_MEDICATIONS,3,Success,,1.218565
ABN_NOTES,19,Success,,3.024593
ABN_NOTE_COMMENTS,6,Success,,1.528837
ABN_NOTE_CONTACT_SERVICE,11,Success,,1.963189
ABN_NOTE_PROC,3,Success,,1.305036
ABN_ORDERS,3,Success,,1.21905
ABN_ORDER_INFO,3,Success,,1.262529
ABN_PLAN_INFO,4,Success,,1.321152
ABN_SERVICE_INFO,3,Success,,1.278997
ACCCATH3_MED_DISCH,3,Success,,1.363372
ACCESSIBLE_DOCUMENTS_PREF,3,Success,,1.338176
ACCESSIBLE_SERVICES,3,Success,,1.31854
ACCOUNT,103,Success,,11.288246
ACCOUNT_2,74,Success,,8.463737
ACCOUNT_3,36,Success,,4.45115
ACCOUNT_CONS_SP_SA_BILL,30,Success,,3.703558
ACCOUNT_CONTACT,22,Success,,3.701628
ACCOUNT_CONTACT_2,4,Success,,1.402492
ACCOUNT_CREATION,5,Success,,1.418226
ACCOUNT_DISCON_CVG,3,Success,,1.278724
ACCOUNT_FPL_INFO,25,Success,,3.260446
ACCOUNT_MYC_GP_FAILED_LOG,3,Success,,1.23889
ACCOUNT_RQG_GROUPERS,3,Success,,1.234311
ACCOUNT_STATUS,3,Success,,1.341806
ACCOUNT_VIS_ACT_HX,9,Success,,2.17251
ACCT_ADDL_FPL_INFO,5,Success,,1.591304
ACCT_ADDR,3,Success,,1.279018
ACCT_COLL_AGENCY_HX,7,Success,,1.725513
ACCT_COVERAGE,3,Success,,1.275752
ACCT_EB_LTFEE_HIST,5,Success,,1.460213
ACCT_EB_STMT_HIST,67,Success,,7.490283
ACCT_EB_STMT_RSN,3,Success,,1.944329
ACCT_GUAR_GROUPER,4,Success,,1.703771
ACCT_GUAR_PAT_INFO,5,Success,,1.82869
ACCT_HB_BNOTE,3,Success,,1.278941
ACCT_HB_STMT_RSN,3,Success,,1.489442
ACCT_HOME_PHONE_HX,5,Success,,1.534141
ACCT_LTF_ETR_LIST,4,Success,,1.353155
ACCT_LTF_HAR_LIST,4,Success,,1.358281
ACCT_NOTEPAD,10,Success,,1.805516
ACCT_PB_BILL_NOTE,3,Success,,1.22425
ACCT_PB_STMT_RSN,3,Success,,1.301302
ACCT_PP_BSP_LIST_REPL,4,Success,,1.343785
ACCT_PP_HAR_LIST_REPL,4,Success,,1.319647
ACCT_TX,3,Success,,1.242396
ACCT_WORK_PHONE_HX,5,Success,,1.441285
ACCUM_GENERAL,13,Success,,2.145558
ACCUM_GRP_GENERAL,16,Success,,2.39902
ACCUM_GRP_SVC_DATE,3,Success,,1.270051
ACCUM_INSTANCES,11,Success,,1.89547
ACIB_MISC_HD_INF,5,Success,,1.489791
ACTIONABLE_FINDING_CANCER,4,Success,,2.433989
ACTIVE_ASYNC_BPAS,3,Success,,1.275446
ACT_ORD_TRANS,5,Success,,1.394966
ACUITY_CONFIG,2,Success,,1.136782
ACUITY_RULE_SCORE,8,Success,,1.76435
ACUITY_SCORE_SPECIFIC,8,Success,,106.772638
ADDENDUM_VERSIONS,4,Success,,1.481266
ADDITIONAL_EM_CODE,8,Success,,1.861765
ADDL_PATH_FINDINGS,3,Success,,2.646535
ADDL_PAT_FND_AF,3,Success,,1.330444
